,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.231,0.845,0.98,限制大额申购,开放赎回,nan
2,2020-01-06,1.278,0.873,3.82,限制大额申购,开放赎回,nan
3,2020-01-07,1.27,0.868,-0.63,限制大额申购,开放赎回,nan
4,2020-01-08,1.274,0.871,0.32,限制大额申购,开放赎回,nan
5,2020-01-09,1.289,0.88,1.18,限制大额申购,开放赎回,nan
6,2020-01-10,1.285,0.878,-0.31,限制大额申购,开放赎回,nan
7,2020-01-13,1.31,0.893,1.95,限制大额申购,开放赎回,nan
8,2020-01-14,1.332,0.906,1.68,限制大额申购,开放赎回,nan
9,2020-01-15,1.309,0.892,-1.73,限制大额申购,开放赎回,nan
10,2020-01-16,1.309,0.892,0.0,限制大额申购,开放赎回,nan
11,2020-01-17,1.306,0.89,-0.23,限制大额申购,开放赎回,nan
12,2020-01-20,1.34,0.911,2.6,限制大额申购,开放赎回,nan
13,2020-01-21,1.32,0.899,-1.49,限制大额申购,开放赎回,nan
14,2020-01-22,1.375,0.933,4.17,限制大额申购,开放赎回,nan
15,2020-01-23,1.345,0.914,-2.18,限制大额申购,开放赎回,nan
16,2020-02-03,1.251,0.857,-6.99,限制大额申购,开放赎回,nan
17,2020-02-04,1.339,0.911,7.03,限制大额申购,开放赎回,nan
18,2020-02-05,1.385,0.939,3.44,限制大额申购,开放赎回,nan
19,2020-02-06,1.413,0.956,2.02,限制大额申购,开放赎回,nan
20,2020-02-07,1.372,0.931,-2.9,限制大额申购,开放赎回,nan
21,2020-02-10,1.433,0.968,4.45,限制大额申购,开放赎回,nan
22,2020-02-11,1.426,0.964,-0.49,限制大额申购,开放赎回,nan
23,2020-02-12,1.477,0.995,3.58,限制大额申购,开放赎回,nan
24,2020-02-13,1.464,0.987,-0.88,限制大额申购,开放赎回,nan
25,2020-02-14,1.45,0.978,-0.96,限制大额申购,开放赎回,nan
26,2020-02-17,1.496,1.007,3.17,限制大额申购,开放赎回,nan
27,2020-02-18,1.509,1.015,0.87,限制大额申购,开放赎回,nan
28,2020-02-19,1.0,0.987,-2.98,暂停申购,暂停赎回,每份基金份额折算1.46406491份
29,2020-02-20,1.015,0.996,1.5,暂停申购,暂停赎回,nan
30,2020-02-21,1.025,1.002,0.99,限制大额申购,开放赎回,nan
31,2020-02-24,1.022,1.0,-0.29,限制大额申购,开放赎回,nan
32,2020-02-25,1.062,1.025,3.91,限制大额申购,开放赎回,nan
33,2020-02-26,1.006,0.991,-5.27,限制大额申购,开放赎回,nan
34,2020-02-27,0.998,0.986,-0.8,限制大额申购,开放赎回,nan
35,2020-02-28,0.942,0.952,-5.61,限制大额申购,开放赎回,nan
36,2020-03-02,0.958,0.961,1.7,限制大额申购,开放赎回,nan
37,2020-03-03,0.98,0.975,2.3,限制大额申购,开放赎回,nan
38,2020-03-04,0.976,0.972,-0.41,限制大额申购,开放赎回,nan
39,2020-03-05,0.975,0.972,-0.1,限制大额申购,开放赎回,nan
40,2020-03-06,0.974,0.971,-0.1,限制大额申购,开放赎回,nan
41,2020-03-09,0.925,0.941,-5.03,限制大额申购,开放赎回,nan
42,2020-03-10,0.946,0.954,2.27,限制大额申购,开放赎回,nan
43,2020-03-11,0.929,0.944,-1.8,限制大额申购,开放赎回,nan
44,2020-03-12,0.901,0.926,-3.01,限制大额申购,开放赎回,nan
45,2020-03-13,0.881,0.914,-2.22,限制大额申购,开放赎回,nan
46,2020-03-16,0.823,0.879,-6.58,暂停申购,开放赎回,nan
47,2020-03-17,0.811,0.871,-1.46,暂停申购,开放赎回,nan
48,2020-03-18,0.794,0.861,-2.1,暂停申购,开放赎回,nan
49,2020-03-19,0.789,0.858,-0.63,暂停申购,开放赎回,nan
50,2020-03-20,0.785,0.856,-0.51,暂停申购,开放赎回,nan
51,2020-03-23,0.729,0.821,-7.13,暂停申购,开放赎回,nan
52,2020-03-24,0.746,0.832,2.33,暂停申购,开放赎回,nan
53,2020-03-25,0.782,0.854,4.83,暂停申购,开放赎回,nan
54,2020-03-26,0.771,0.847,-1.41,暂停申购,开放赎回,nan
55,2020-03-27,0.769,0.846,-0.26,暂停申购,开放赎回,nan
56,2020-03-30,0.756,0.838,-1.69,暂停申购,开放赎回,nan
57,2020-03-31,0.764,0.843,1.06,暂停申购,开放赎回,nan
58,2020-04-01,0.777,0.851,1.7,暂停申购,开放赎回,nan
59,2020-04-02,0.801,0.865,3.09,暂停申购,开放赎回,nan
60,2020-04-03,0.791,0.859,-1.25,暂停申购,开放赎回,nan
61,2020-04-07,0.817,0.875,3.29,暂停申购,开放赎回,nan
62,2020-04-08,0.809,0.87,-0.98,暂停申购,开放赎回,nan
63,2020-04-09,0.804,0.867,-0.62,暂停申购,开放赎回,nan
64,2020-04-10,0.784,0.855,-2.49,暂停申购,开放赎回,nan
65,2020-04-13,0.769,0.846,-1.91,暂停申购,开放赎回,nan
66,2020-04-14,0.81,0.871,5.33,暂停申购,开放赎回,nan
67,2020-04-15,0.812,0.872,0.25,暂停申购,开放赎回,nan
68,2020-04-16,0.817,0.875,0.62,暂停申购,开放赎回,nan
69,2020-04-17,0.821,0.878,0.49,暂停申购,开放赎回,nan
70,2020-04-20,0.824,0.879,0.37,暂停申购,开放赎回,nan
71,2020-04-21,0.807,0.869,-2.06,暂停申购,开放赎回,nan
72,2020-04-22,0.811,0.871,0.5,暂停申购,开放赎回,nan
73,2020-04-23,0.801,0.865,-1.23,暂停申购,开放赎回,nan
74,2020-04-24,0.803,0.867,0.25,暂停申购,开放赎回,nan
