,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.4815,1.4815,-0.14,开放申购,开放赎回,nan
2,2020-01-06,1.4936,1.4936,0.82,开放申购,开放赎回,nan
3,2020-01-07,1.4849,1.4849,-0.58,开放申购,开放赎回,nan
4,2020-01-08,1.4517,1.4517,-2.24,开放申购,开放赎回,nan
5,2020-01-09,1.4908,1.4908,2.69,开放申购,开放赎回,nan
6,2020-01-10,1.536,1.536,3.03,开放申购,开放赎回,nan
7,2020-01-13,1.6133,1.6133,5.03,开放申购,开放赎回,nan
8,2020-01-14,1.6006,1.6006,-0.79,开放申购,开放赎回,nan
9,2020-01-15,1.6367,1.6367,2.26,开放申购,开放赎回,nan
10,2020-01-16,1.6365,1.6365,-0.01,开放申购,开放赎回,nan
11,2020-01-17,1.6314,1.6314,-0.31,开放申购,开放赎回,nan
12,2020-01-20,1.7101,1.7101,4.82,开放申购,开放赎回,nan
13,2020-01-21,1.7114,1.7114,0.08,开放申购,开放赎回,nan
14,2020-01-22,1.7928,1.7928,4.76,开放申购,开放赎回,nan
15,2020-01-23,1.7716,1.7716,-1.18,开放申购,开放赎回,nan
16,2020-02-03,1.6569,1.6569,-6.47,开放申购,开放赎回,nan
17,2020-02-04,1.7143,1.7143,3.46,开放申购,开放赎回,nan
18,2020-02-05,1.7227,1.7227,0.49,开放申购,开放赎回,nan
19,2020-02-06,1.7609,1.7609,2.22,开放申购,开放赎回,nan
20,2020-02-07,1.8152,1.8152,3.08,开放申购,开放赎回,nan
21,2020-02-10,1.7783,1.7783,-2.03,开放申购,开放赎回,nan
22,2020-02-11,1.7951,1.7951,0.94,开放申购,开放赎回,nan
23,2020-02-12,1.8434,1.8434,2.69,开放申购,开放赎回,nan
24,2020-02-13,1.9028,1.9028,3.22,开放申购,开放赎回,nan
25,2020-02-14,1.9289,1.9289,1.37,开放申购,开放赎回,nan
26,2020-02-17,1.9788,1.9788,2.59,开放申购,开放赎回,nan
27,2020-02-18,2.0478,2.0478,3.49,开放申购,开放赎回,nan
28,2020-02-19,2.0644,2.0644,0.81,开放申购,开放赎回,nan
29,2020-02-20,2.1112,2.1112,2.27,开放申购,开放赎回,nan
30,2020-02-21,2.1569,2.1569,2.16,开放申购,开放赎回,nan
31,2020-02-24,2.2388,2.2388,3.8,开放申购,开放赎回,nan
32,2020-02-25,2.2623,2.2623,1.05,开放申购,开放赎回,nan
33,2020-02-26,2.1305,2.1305,-5.83,开放申购,开放赎回,nan
34,2020-02-27,2.0675,2.0675,-2.96,开放申购,开放赎回,nan
35,2020-02-28,1.9643,1.9643,-4.99,开放申购,开放赎回,nan
36,2020-03-02,1.9631,1.9631,-0.06,开放申购,开放赎回,nan
37,2020-03-03,1.9725,1.9725,0.48,开放申购,开放赎回,nan
38,2020-03-04,1.9054,1.9054,-3.4,开放申购,开放赎回,nan
39,2020-03-05,1.9334,1.9334,1.47,开放申购,开放赎回,nan
40,2020-03-06,1.9064,1.9064,-1.4,开放申购,开放赎回,nan
41,2020-03-09,1.7717,1.7717,-7.07,开放申购,开放赎回,nan
42,2020-03-10,1.8886,1.8886,6.6,开放申购,开放赎回,nan
43,2020-03-11,1.8165,1.8165,-3.82,开放申购,开放赎回,nan
44,2020-03-12,1.8196,1.8196,0.17,开放申购,开放赎回,nan
45,2020-03-13,1.8541,1.8541,1.9,开放申购,开放赎回,nan
46,2020-03-16,1.7302,1.7302,-6.68,开放申购,开放赎回,nan
47,2020-03-17,1.7502,1.7502,1.16,开放申购,开放赎回,nan
48,2020-03-18,1.7257,1.7257,-1.4,开放申购,开放赎回,nan
49,2020-03-19,1.7819,1.7819,3.26,开放申购,开放赎回,nan
50,2020-03-20,1.7595,1.7595,-1.26,开放申购,开放赎回,nan
51,2020-03-23,1.6279,1.6279,-7.48,开放申购,开放赎回,nan
52,2020-03-24,1.6339,1.6339,0.37,开放申购,开放赎回,nan
53,2020-03-25,1.663,1.663,1.78,开放申购,开放赎回,nan
54,2020-03-26,1.6293,1.6293,-2.03,开放申购,开放赎回,nan
55,2020-03-27,1.6128,1.6128,-1.01,开放申购,开放赎回,nan
56,2020-03-30,1.5762,1.5762,-2.27,开放申购,开放赎回,nan
57,2020-03-31,1.5649,1.5649,-0.72,开放申购,开放赎回,nan
58,2020-04-01,1.5878,1.5878,1.46,开放申购,开放赎回,nan
59,2020-04-02,1.6971,1.6971,6.88,开放申购,开放赎回,nan
60,2020-04-03,1.6856,1.6856,-0.68,开放申购,开放赎回,nan
61,2020-04-07,1.7255,1.7255,2.37,开放申购,开放赎回,nan
62,2020-04-08,1.7377,1.7377,0.71,开放申购,开放赎回,nan
63,2020-04-09,1.7201,1.7201,-1.01,开放申购,开放赎回,nan
64,2020-04-10,1.642,1.642,-4.54,开放申购,开放赎回,nan
65,2020-04-13,1.6018,1.6018,-2.45,开放申购,开放赎回,nan
66,2020-04-14,1.6463,1.6463,2.78,开放申购,开放赎回,nan
67,2020-04-15,1.6598,1.6598,0.82,开放申购,开放赎回,nan
68,2020-04-16,1.686,1.686,1.58,开放申购,开放赎回,nan
69,2020-04-17,1.7308,1.7308,2.66,开放申购,开放赎回,nan
70,2020-04-20,1.7471,1.7471,0.94,开放申购,开放赎回,nan
71,2020-04-21,1.7036,1.7036,-2.49,开放申购,开放赎回,nan
72,2020-04-22,1.7142,1.7142,0.62,开放申购,开放赎回,nan
73,2020-04-23,1.6887,1.6887,-1.49,开放申购,开放赎回,nan
74,2020-04-24,1.6488,1.6488,-2.36,开放申购,开放赎回,nan
