,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.3258,1.3258,-0.14,开放申购,开放赎回,nan
2,2020-01-06,1.3167,1.3167,-0.69,开放申购,开放赎回,nan
3,2020-01-07,1.3401,1.3401,1.78,开放申购,开放赎回,nan
4,2020-01-08,1.3319,1.3319,-0.61,开放申购,开放赎回,nan
5,2020-01-09,1.3668,1.3668,2.62,开放申购,开放赎回,nan
6,2020-01-10,1.3738,1.3738,0.51,开放申购,开放赎回,nan
7,2020-01-13,1.3852,1.3852,0.83,开放申购,开放赎回,nan
8,2020-01-14,1.3697,1.3697,-1.12,开放申购,开放赎回,nan
9,2020-01-15,1.3845,1.3845,1.08,开放申购,开放赎回,nan
10,2020-01-16,1.3901,1.3901,0.4,开放申购,开放赎回,nan
11,2020-01-17,1.4089,1.4089,1.35,开放申购,开放赎回,nan
12,2020-01-20,1.4415,1.4415,2.31,开放申购,开放赎回,nan
13,2020-01-21,1.4591,1.4591,1.22,开放申购,开放赎回,nan
14,2020-01-22,1.4503,1.4503,-0.6,开放申购,开放赎回,nan
15,2020-01-23,1.4263,1.4263,-1.65,开放申购,开放赎回,nan
16,2020-02-03,1.3864,1.3864,-2.8,开放申购,开放赎回,nan
17,2020-02-04,1.4312,1.4312,3.23,开放申购,开放赎回,nan
18,2020-02-05,1.4763,1.4763,3.15,开放申购,开放赎回,nan
19,2020-02-06,1.5319,1.5319,3.77,开放申购,开放赎回,nan
20,2020-02-07,1.5024,1.5024,-1.93,开放申购,开放赎回,nan
21,2020-02-10,1.5034,1.5034,0.07,开放申购,开放赎回,nan
22,2020-02-11,1.4985,1.4985,-0.33,开放申购,开放赎回,nan
23,2020-02-12,1.5229,1.5229,1.63,开放申购,开放赎回,nan
24,2020-02-13,1.5053,1.5053,-1.16,开放申购,开放赎回,nan
25,2020-02-14,1.521,1.521,1.04,开放申购,开放赎回,nan
26,2020-02-17,1.5505,1.5505,1.94,开放申购,开放赎回,nan
27,2020-02-18,1.5432,1.5432,-0.47,开放申购,开放赎回,nan
28,2020-02-19,1.5147,1.5147,-1.85,开放申购,开放赎回,nan
29,2020-02-20,1.5294,1.5294,0.97,开放申购,开放赎回,nan
30,2020-02-21,1.5437,1.5437,0.94,开放申购,开放赎回,nan
31,2020-02-24,1.5589,1.5589,0.98,开放申购,开放赎回,nan
32,2020-02-25,1.5847,1.5847,1.66,开放申购,开放赎回,nan
33,2020-02-26,1.5355,1.5355,-3.1,开放申购,开放赎回,nan
34,2020-02-27,1.5433,1.5433,0.51,开放申购,开放赎回,nan
35,2020-02-28,1.5044,1.5044,-2.52,开放申购,开放赎回,nan
36,2020-03-02,1.5344,1.5344,1.99,开放申购,开放赎回,nan
37,2020-03-03,1.5857,1.5857,3.34,开放申购,开放赎回,nan
38,2020-03-04,1.5827,1.5827,-0.19,开放申购,开放赎回,nan
39,2020-03-05,1.6131,1.6131,1.92,开放申购,开放赎回,nan
40,2020-03-06,1.6151,1.6151,0.12,开放申购,开放赎回,nan
41,2020-03-09,1.5798,1.5798,-2.19,开放申购,开放赎回,nan
42,2020-03-10,1.5807,1.5807,0.06,开放申购,开放赎回,nan
43,2020-03-11,1.5589,1.5589,-1.38,开放申购,开放赎回,nan
44,2020-03-12,1.513,1.513,-2.94,开放申购,开放赎回,nan
45,2020-03-13,1.4896,1.4896,-1.55,开放申购,开放赎回,nan
46,2020-03-16,1.4315,1.4315,-3.9,开放申购,开放赎回,nan
47,2020-03-17,1.4426,1.4426,0.78,开放申购,开放赎回,nan
48,2020-03-18,1.4374,1.4374,-0.36,开放申购,开放赎回,nan
49,2020-03-19,1.417,1.417,-1.42,开放申购,开放赎回,nan
50,2020-03-20,1.4523,1.4523,2.49,开放申购,开放赎回,nan
51,2020-03-23,1.429,1.429,-1.6,开放申购,开放赎回,nan
52,2020-03-24,1.4643,1.4643,2.47,开放申购,开放赎回,nan
53,2020-03-25,1.5233,1.5233,4.03,开放申购,开放赎回,nan
54,2020-03-26,1.5627,1.5627,2.59,开放申购,开放赎回,nan
55,2020-03-27,1.5482,1.5482,-0.93,开放申购,开放赎回,nan
56,2020-03-30,1.5145,1.5145,-2.18,开放申购,开放赎回,nan
57,2020-03-31,1.5442,1.5442,1.96,开放申购,开放赎回,nan
58,2020-04-01,1.5253,1.5253,-1.22,开放申购,开放赎回,nan
59,2020-04-02,1.5445,1.5445,1.26,开放申购,开放赎回,nan
60,2020-04-03,1.557,1.557,0.81,开放申购,开放赎回,nan
61,2020-04-07,1.6103,1.6103,3.42,开放申购,开放赎回,nan
62,2020-04-08,1.5972,1.5972,-0.81,开放申购,开放赎回,nan
63,2020-04-09,1.6493,1.6493,3.26,开放申购,开放赎回,nan
64,2020-04-10,1.6233,1.6233,-1.58,开放申购,开放赎回,nan
65,2020-04-13,1.6356,1.6356,0.76,开放申购,开放赎回,nan
66,2020-04-14,1.6681,1.6681,1.99,开放申购,开放赎回,nan
67,2020-04-15,1.6639,1.6639,-0.25,开放申购,开放赎回,nan
68,2020-04-16,1.6935,1.6935,1.78,开放申购,开放赎回,nan
69,2020-04-17,1.6761,1.6761,-1.03,开放申购,开放赎回,nan
70,2020-04-20,1.7163,1.7163,2.4,开放申购,开放赎回,nan
71,2020-04-21,1.7067,1.7067,-0.56,开放申购,开放赎回,nan
72,2020-04-22,1.7293,1.7293,1.32,开放申购,开放赎回,nan
73,2020-04-23,1.741,1.741,0.68,开放申购,开放赎回,nan
74,2020-04-24,1.6988,1.6988,-2.42,开放申购,开放赎回,nan
