,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.191,1.191,0.33,开放申购,开放赎回,nan
2,2020-01-06,1.2098,1.2098,1.58,开放申购,开放赎回,nan
3,2020-01-07,1.2174,1.2174,0.63,开放申购,开放赎回,nan
4,2020-01-08,1.1971,1.1971,-1.67,开放申购,开放赎回,nan
5,2020-01-09,1.2267,1.2267,2.47,开放申购,开放赎回,nan
6,2020-01-10,1.234,1.234,0.6,开放申购,开放赎回,nan
7,2020-01-13,1.2714,1.2714,3.03,开放申购,开放赎回,nan
8,2020-01-14,1.2582,1.2582,-1.04,开放申购,开放赎回,nan
9,2020-01-15,1.2753,1.2753,1.36,开放申购,开放赎回,nan
10,2020-01-16,1.2804,1.2804,0.4,开放申购,开放赎回,nan
11,2020-01-17,1.2782,1.2782,-0.17,开放申购,开放赎回,nan
12,2020-01-20,1.3101,1.3101,2.5,开放申购,开放赎回,nan
13,2020-01-21,1.294,1.294,-1.23,开放申购,开放赎回,nan
14,2020-01-22,1.331,1.331,2.86,开放申购,开放赎回,nan
15,2020-01-23,1.2866,1.2866,-3.34,开放申购,开放赎回,nan
16,2020-02-03,1.1773,1.1773,-8.5,开放申购,开放赎回,nan
17,2020-02-04,1.2258,1.2258,4.12,开放申购,开放赎回,nan
18,2020-02-05,1.2576,1.2576,2.59,开放申购,开放赎回,nan
19,2020-02-06,1.3098,1.3098,4.15,开放申购,开放赎回,nan
20,2020-02-07,1.3486,1.3486,2.96,开放申购,开放赎回,nan
21,2020-02-10,1.3455,1.3455,-0.23,开放申购,开放赎回,nan
22,2020-02-11,1.3411,1.3411,-0.33,开放申购,开放赎回,nan
23,2020-02-12,1.3925,1.3925,3.83,开放申购,开放赎回,nan
24,2020-02-13,1.3989,1.3989,0.46,开放申购,开放赎回,nan
25,2020-02-14,1.4028,1.4028,0.28,开放申购,开放赎回,nan
26,2020-02-17,1.4432,1.4432,2.88,开放申购,开放赎回,nan
27,2020-02-18,1.4749,1.4749,2.2,开放申购,开放赎回,nan
28,2020-02-19,1.4638,1.4638,-0.75,开放申购,开放赎回,nan
29,2020-02-20,1.4913,1.4913,1.88,开放申购,开放赎回,nan
30,2020-02-21,1.5361,1.5361,3.0,开放申购,开放赎回,nan
31,2020-02-24,1.5857,1.5857,3.23,开放申购,开放赎回,nan
32,2020-02-25,1.6026,1.6026,1.07,开放申购,开放赎回,nan
33,2020-02-26,1.5241,1.5241,-4.9,开放申购,开放赎回,nan
34,2020-02-27,1.5226,1.5226,-0.1,开放申购,开放赎回,nan
35,2020-02-28,1.4344,1.4344,-5.79,开放申购,开放赎回,nan
36,2020-03-02,1.4845,1.4845,3.49,开放申购,开放赎回,nan
37,2020-03-03,1.5124,1.5124,1.88,开放申购,开放赎回,nan
38,2020-03-04,1.4853,1.4853,-1.79,开放申购,开放赎回,nan
39,2020-03-05,1.4816,1.4816,-0.25,开放申购,开放赎回,nan
40,2020-03-06,1.4661,1.4661,-1.05,开放申购,开放赎回,nan
41,2020-03-09,1.3789,1.3789,-5.95,开放申购,开放赎回,nan
42,2020-03-10,1.4466,1.4466,4.91,开放申购,开放赎回,nan
43,2020-03-11,1.4063,1.4063,-2.79,开放申购,开放赎回,nan
44,2020-03-12,1.3868,1.3868,-1.39,开放申购,开放赎回,nan
45,2020-03-13,1.397,1.397,0.74,开放申购,开放赎回,nan
46,2020-03-16,1.306,1.306,-6.51,开放申购,开放赎回,nan
47,2020-03-17,1.3214,1.3214,1.18,开放申购,开放赎回,nan
48,2020-03-18,1.2991,1.2991,-1.69,开放申购,开放赎回,nan
49,2020-03-19,1.3285,1.3285,2.26,开放申购,开放赎回,nan
50,2020-03-20,1.3257,1.3257,-0.21,开放申购,开放赎回,nan
51,2020-03-23,1.2462,1.2462,-6.0,开放申购,开放赎回,nan
52,2020-03-24,1.2663,1.2663,1.61,开放申购,开放赎回,nan
53,2020-03-25,1.2965,1.2965,2.38,开放申购,开放赎回,nan
54,2020-03-26,1.281,1.281,-1.2,开放申购,开放赎回,nan
55,2020-03-27,1.2606,1.2606,-1.59,开放申购,开放赎回,nan
56,2020-03-30,1.2198,1.2198,-3.24,开放申购,开放赎回,nan
57,2020-03-31,1.2137,1.2137,-0.5,开放申购,开放赎回,nan
58,2020-04-01,1.2217,1.2217,0.66,开放申购,开放赎回,nan
59,2020-04-02,1.2796,1.2796,4.74,开放申购,开放赎回,nan
60,2020-04-03,1.2638,1.2638,-1.23,开放申购,开放赎回,nan
61,2020-04-07,1.3022,1.3022,3.04,开放申购,开放赎回,nan
62,2020-04-08,1.3006,1.3006,-0.12,开放申购,开放赎回,nan
63,2020-04-09,1.3061,1.3061,0.42,开放申购,开放赎回,nan
64,2020-04-10,1.2604,1.2604,-3.5,开放申购,开放赎回,nan
65,2020-04-13,1.2286,1.2286,-2.52,开放申购,开放赎回,nan
66,2020-04-14,1.2676,1.2676,3.17,开放申购,开放赎回,nan
67,2020-04-15,1.2676,1.2676,0.0,开放申购,开放赎回,nan
68,2020-04-16,1.2824,1.2824,1.17,开放申购,开放赎回,nan
69,2020-04-17,1.2964,1.2964,1.09,开放申购,开放赎回,nan
70,2020-04-20,1.3208,1.3208,1.88,开放申购,开放赎回,nan
71,2020-04-21,1.313,1.313,-0.59,开放申购,开放赎回,nan
72,2020-04-22,1.3135,1.3135,0.04,开放申购,开放赎回,nan
73,2020-04-23,1.2931,1.2931,-1.55,开放申购,开放赎回,nan
74,2020-04-24,1.2661,1.2661,-2.09,开放申购,开放赎回,nan
