,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.253,1.698,-1.73,开放申购,开放赎回,nan
2,2020-01-06,1.249,1.694,-0.32,开放申购,开放赎回,nan
3,2020-01-07,1.244,1.689,-0.4,开放申购,开放赎回,nan
4,2020-01-08,1.235,1.68,-0.72,开放申购,开放赎回,nan
5,2020-01-09,1.278,1.723,3.48,开放申购,开放赎回,nan
6,2020-01-10,1.313,1.758,2.74,开放申购,开放赎回,nan
7,2020-01-13,1.387,1.832,5.64,开放申购,开放赎回,nan
8,2020-01-14,1.354,1.799,-2.38,开放申购,开放赎回,nan
9,2020-01-15,1.375,1.82,1.55,开放申购,开放赎回,nan
10,2020-01-16,1.376,1.821,0.07,开放申购,开放赎回,nan
11,2020-01-17,1.373,1.818,-0.22,开放申购,开放赎回,nan
12,2020-01-20,1.43,1.875,4.15,开放申购,开放赎回,nan
13,2020-01-21,1.441,1.886,0.77,开放申购,开放赎回,nan
14,2020-01-22,1.487,1.932,3.19,开放申购,开放赎回,nan
15,2020-01-23,1.439,1.884,-3.23,开放申购,开放赎回,nan
16,2020-02-03,1.317,1.762,-8.48,开放申购,开放赎回,nan
17,2020-02-04,1.392,1.837,5.69,开放申购,开放赎回,nan
18,2020-02-05,1.393,1.838,0.07,开放申购,开放赎回,nan
19,2020-02-06,1.426,1.871,2.37,开放申购,开放赎回,nan
20,2020-02-07,1.471,1.916,3.16,开放申购,开放赎回,nan
21,2020-02-10,1.429,1.874,-2.86,开放申购,开放赎回,nan
22,2020-02-11,1.457,1.902,1.96,开放申购,开放赎回,nan
23,2020-02-12,1.498,1.943,2.81,开放申购,开放赎回,nan
24,2020-02-13,1.548,1.993,3.34,开放申购,开放赎回,nan
25,2020-02-14,1.537,1.982,-0.71,开放申购,开放赎回,nan
26,2020-02-17,1.572,2.017,2.28,开放申购,开放赎回,nan
27,2020-02-18,1.627,2.072,3.5,开放申购,开放赎回,nan
28,2020-02-19,1.617,2.062,-0.61,开放申购,开放赎回,nan
29,2020-02-20,1.658,2.103,2.54,开放申购,开放赎回,nan
30,2020-02-21,1.691,2.136,1.99,开放申购,开放赎回,nan
31,2020-02-24,1.767,2.212,4.49,开放申购,开放赎回,nan
32,2020-02-25,1.812,2.257,2.55,开放申购,开放赎回,nan
33,2020-02-26,1.691,2.136,-6.68,开放申购,开放赎回,nan
34,2020-02-27,1.644,2.089,-2.78,开放申购,开放赎回,nan
35,2020-02-28,1.58,2.025,-3.89,开放申购,开放赎回,nan
36,2020-03-02,1.576,2.021,-0.25,开放申购,开放赎回,nan
37,2020-03-03,1.591,2.036,0.95,开放申购,开放赎回,nan
38,2020-03-04,1.525,1.97,-4.15,开放申购,开放赎回,nan
39,2020-03-05,1.546,1.991,1.38,开放申购,开放赎回,nan
40,2020-03-06,1.517,1.962,-1.88,开放申购,开放赎回,nan
41,2020-03-09,1.408,1.853,-7.19,开放申购,开放赎回,nan
42,2020-03-10,1.501,1.946,6.61,开放申购,开放赎回,nan
43,2020-03-11,1.434,1.879,-4.46,开放申购,开放赎回,nan
44,2020-03-12,1.432,1.877,-0.14,开放申购,开放赎回,nan
45,2020-03-13,1.459,1.904,1.89,开放申购,开放赎回,nan
46,2020-03-16,1.362,1.807,-6.65,开放申购,开放赎回,nan
47,2020-03-17,1.377,1.822,1.1,开放申购,开放赎回,nan
48,2020-03-18,1.353,1.798,-1.74,开放申购,开放赎回,nan
49,2020-03-19,1.392,1.837,2.88,开放申购,开放赎回,nan
50,2020-03-20,1.369,1.814,-1.65,开放申购,开放赎回,nan
51,2020-03-23,1.268,1.713,-7.38,开放申购,开放赎回,nan
52,2020-03-24,1.285,1.73,1.34,开放申购,开放赎回,nan
53,2020-03-25,1.31,1.755,1.95,开放申购,开放赎回,nan
54,2020-03-26,1.288,1.733,-1.68,开放申购,开放赎回,nan
55,2020-03-27,1.282,1.727,-0.47,开放申购,开放赎回,nan
56,2020-03-30,1.267,1.712,-1.17,开放申购,开放赎回,nan
57,2020-03-31,1.257,1.702,-0.79,开放申购,开放赎回,nan
58,2020-04-01,1.264,1.709,0.56,开放申购,开放赎回,nan
59,2020-04-02,1.367,1.812,8.15,开放申购,开放赎回,nan
60,2020-04-03,1.36,1.805,-0.51,开放申购,开放赎回,nan
61,2020-04-07,1.382,1.827,1.62,开放申购,开放赎回,nan
62,2020-04-08,1.38,1.825,-0.14,开放申购,开放赎回,nan
63,2020-04-09,1.363,1.808,-1.23,开放申购,开放赎回,nan
64,2020-04-10,1.293,1.738,-5.14,开放申购,开放赎回,nan
65,2020-04-13,1.251,1.696,-3.25,开放申购,开放赎回,nan
66,2020-04-14,1.291,1.736,3.2,开放申购,开放赎回,nan
67,2020-04-15,1.31,1.755,1.47,开放申购,开放赎回,nan
68,2020-04-16,1.333,1.778,1.76,开放申购,开放赎回,nan
69,2020-04-17,1.366,1.811,2.48,开放申购,开放赎回,nan
70,2020-04-20,1.376,1.821,0.73,开放申购,开放赎回,nan
71,2020-04-21,1.346,1.791,-2.18,开放申购,开放赎回,nan
72,2020-04-22,1.354,1.799,0.59,开放申购,开放赎回,nan
73,2020-04-23,1.328,1.773,-1.92,开放申购,开放赎回,nan
74,2020-04-24,1.306,1.751,-1.66,开放申购,开放赎回,nan
