,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.132,1.374,0.09,限制大额申购,开放赎回,nan
2,2020-01-06,1.132,1.374,0.0,限制大额申购,开放赎回,nan
3,2020-01-07,1.133,1.375,0.09,限制大额申购,开放赎回,nan
4,2020-01-08,1.133,1.375,0.0,限制大额申购,开放赎回,nan
5,2020-01-09,1.133,1.375,0.0,限制大额申购,开放赎回,nan
6,2020-01-10,1.134,1.376,0.09,限制大额申购,开放赎回,nan
7,2020-01-13,1.135,1.377,0.09,限制大额申购,开放赎回,nan
8,2020-01-14,1.135,1.377,0.0,开放申购,开放赎回,nan
9,2020-01-15,1.135,1.377,0.0,开放申购,开放赎回,nan
10,2020-01-16,1.135,1.377,0.0,开放申购,开放赎回,nan
11,2020-01-17,1.135,1.377,0.0,开放申购,开放赎回,nan
12,2020-01-20,1.136,1.378,0.09,开放申购,开放赎回,nan
13,2020-01-21,1.136,1.378,0.0,开放申购,开放赎回,nan
14,2020-01-22,1.137,1.379,0.09,开放申购,开放赎回,nan
15,2020-01-23,1.137,1.379,0.0,开放申购,开放赎回,nan
16,2020-02-03,1.143,1.385,0.53,开放申购,开放赎回,nan
17,2020-02-04,1.143,1.385,0.0,开放申购,开放赎回,nan
18,2020-02-05,1.143,1.385,0.0,开放申购,开放赎回,nan
19,2020-02-06,1.143,1.385,0.0,开放申购,开放赎回,nan
20,2020-02-07,1.144,1.386,0.09,开放申购,开放赎回,nan
21,2020-02-10,1.145,1.387,0.09,开放申购,开放赎回,nan
22,2020-02-11,1.145,1.387,0.0,开放申购,开放赎回,nan
23,2020-02-12,1.146,1.388,0.09,开放申购,开放赎回,nan
24,2020-02-13,1.147,1.389,0.09,限制大额申购,开放赎回,nan
25,2020-02-14,1.147,1.389,0.0,限制大额申购,开放赎回,nan
26,2020-02-17,1.129,1.39,0.09,限制大额申购,开放赎回,每份派现金0.0190元
27,2020-02-18,1.129,1.39,0.0,限制大额申购,开放赎回,nan
28,2020-02-19,1.13,1.391,0.09,限制大额申购,开放赎回,nan
29,2020-02-20,1.13,1.391,0.0,限制大额申购,开放赎回,nan
30,2020-02-21,1.13,1.391,0.0,限制大额申购,开放赎回,nan
31,2020-02-24,1.131,1.392,0.09,限制大额申购,开放赎回,nan
32,2020-02-25,1.132,1.393,0.09,限制大额申购,开放赎回,nan
33,2020-02-26,1.132,1.393,0.0,限制大额申购,开放赎回,nan
34,2020-02-27,1.132,1.393,0.0,限制大额申购,开放赎回,nan
35,2020-02-28,1.133,1.394,0.09,限制大额申购,开放赎回,nan
36,2020-03-02,1.134,1.395,0.09,限制大额申购,开放赎回,nan
37,2020-03-03,1.134,1.395,0.0,限制大额申购,开放赎回,nan
38,2020-03-04,1.135,1.396,0.09,限制大额申购,开放赎回,nan
39,2020-03-05,1.135,1.396,0.0,限制大额申购,开放赎回,nan
40,2020-03-06,1.136,1.397,0.09,限制大额申购,开放赎回,nan
41,2020-03-09,1.138,1.399,0.18,限制大额申购,开放赎回,nan
42,2020-03-10,1.137,1.398,-0.09,限制大额申购,开放赎回,nan
43,2020-03-11,1.137,1.398,0.0,限制大额申购,开放赎回,nan
44,2020-03-12,1.136,1.397,-0.09,限制大额申购,开放赎回,nan
45,2020-03-13,1.135,1.396,-0.09,限制大额申购,开放赎回,nan
46,2020-03-16,1.135,1.396,0.0,限制大额申购,开放赎回,nan
47,2020-03-17,1.133,1.394,-0.18,限制大额申购,开放赎回,nan
48,2020-03-18,1.133,1.394,0.0,限制大额申购,开放赎回,nan
49,2020-03-19,1.133,1.394,0.0,限制大额申购,开放赎回,nan
50,2020-03-20,1.133,1.394,0.0,限制大额申购,开放赎回,nan
51,2020-03-23,1.134,1.395,0.09,限制大额申购,开放赎回,nan
52,2020-03-24,1.135,1.396,0.09,限制大额申购,开放赎回,nan
53,2020-03-25,1.135,1.396,0.0,限制大额申购,开放赎回,nan
54,2020-03-26,1.136,1.397,0.09,限制大额申购,开放赎回,nan
55,2020-03-27,1.136,1.397,0.0,限制大额申购,开放赎回,nan
56,2020-03-30,1.136,1.397,0.0,限制大额申购,开放赎回,nan
57,2020-03-31,1.137,1.398,0.09,限制大额申购,开放赎回,nan
58,2020-04-01,1.138,1.399,0.09,限制大额申购,开放赎回,nan
59,2020-04-02,1.138,1.399,0.0,限制大额申购,开放赎回,nan
60,2020-04-03,1.138,1.399,0.0,限制大额申购,开放赎回,nan
61,2020-04-07,1.144,1.405,0.53,限制大额申购,开放赎回,nan
62,2020-04-08,1.145,1.406,0.09,限制大额申购,开放赎回,nan
63,2020-04-09,1.146,1.407,0.09,限制大额申购,开放赎回,nan
64,2020-04-10,1.147,1.408,0.09,限制大额申购,开放赎回,nan
65,2020-04-13,1.147,1.408,0.0,限制大额申购,开放赎回,nan
66,2020-04-14,1.147,1.408,0.0,限制大额申购,开放赎回,nan
67,2020-04-15,1.148,1.409,0.09,限制大额申购,开放赎回,nan
68,2020-04-16,1.148,1.409,0.0,限制大额申购,开放赎回,nan
69,2020-04-17,1.148,1.409,0.0,限制大额申购,开放赎回,nan
70,2020-04-20,1.148,1.409,0.0,限制大额申购,开放赎回,nan
71,2020-04-21,1.148,1.409,0.0,限制大额申购,开放赎回,nan
72,2020-04-22,1.149,1.41,0.09,限制大额申购,开放赎回,nan
73,2020-04-23,1.15,1.411,0.09,限制大额申购,开放赎回,nan
74,2020-04-24,1.151,1.412,0.09,限制大额申购,开放赎回,nan
