,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.5293,3.1065,0.03,限制大额申购,开放赎回,nan
2,2020-01-06,1.5354,3.1126,0.4,限制大额申购,开放赎回,nan
3,2020-01-07,1.5442,3.1214,0.57,限制大额申购,开放赎回,nan
4,2020-01-08,1.5322,3.1094,-0.78,限制大额申购,开放赎回,nan
5,2020-01-09,1.5465,3.1237,0.93,限制大额申购,开放赎回,nan
6,2020-01-10,1.5515,3.1287,0.32,限制大额申购,开放赎回,nan
7,2020-01-13,1.5731,3.1503,1.39,限制大额申购,开放赎回,nan
8,2020-01-14,1.5605,3.1377,-0.8,限制大额申购,开放赎回,nan
9,2020-01-15,1.5592,3.1364,-0.08,限制大额申购,开放赎回,nan
10,2020-01-16,1.5643,3.1415,0.33,限制大额申购,开放赎回,nan
11,2020-01-17,1.5659,3.1431,0.1,开放申购,开放赎回,nan
12,2020-01-20,1.5787,3.1559,0.82,开放申购,开放赎回,nan
13,2020-01-21,1.5543,3.1315,-1.55,开放申购,开放赎回,nan
14,2020-01-22,1.5703,3.1475,1.03,开放申购,开放赎回,nan
15,2020-01-23,1.5224,3.0996,-3.05,开放申购,开放赎回,nan
16,2020-02-03,1.4249,3.0021,-6.4,开放申购,开放赎回,nan
17,2020-02-04,1.4738,3.051,3.43,开放申购,开放赎回,nan
18,2020-02-05,1.4857,3.0629,0.81,开放申购,开放赎回,nan
19,2020-02-06,1.5097,3.0869,1.62,开放申购,开放赎回,nan
20,2020-02-07,1.5159,3.0931,0.41,开放申购,开放赎回,nan
21,2020-02-10,1.5313,3.1085,1.02,开放申购,开放赎回,nan
22,2020-02-11,1.5401,3.1173,0.57,开放申购,开放赎回,nan
23,2020-02-12,1.551,3.1282,0.71,开放申购,开放赎回,nan
24,2020-02-13,1.5367,3.1139,-0.92,开放申购,开放赎回,nan
25,2020-02-14,1.5447,3.1219,0.52,开放申购,开放赎回,nan
26,2020-02-17,1.5887,3.1659,2.85,开放申购,开放赎回,nan
27,2020-02-18,1.5935,3.1707,0.3,开放申购,开放赎回,nan
28,2020-02-19,1.5951,3.1723,0.1,开放申购,开放赎回,nan
29,2020-02-20,1.6186,3.1958,1.47,开放申购,开放赎回,nan
30,2020-02-21,1.6309,3.2081,0.76,开放申购,开放赎回,nan
31,2020-02-24,1.6585,3.2357,1.69,开放申购,开放赎回,nan
32,2020-02-25,1.6776,3.2548,1.15,开放申购,开放赎回,nan
33,2020-02-26,1.6217,3.1989,-3.33,开放申购,开放赎回,nan
34,2020-02-27,1.6344,3.2116,0.78,开放申购,开放赎回,nan
35,2020-02-28,1.5795,3.1567,-3.36,开放申购,开放赎回,nan
36,2020-03-02,1.634,3.2112,3.45,开放申购,开放赎回,nan
37,2020-03-03,1.6389,3.2161,0.3,开放申购,开放赎回,nan
38,2020-03-04,1.6399,3.2171,0.06,开放申购,开放赎回,nan
39,2020-03-05,1.6638,3.241,1.46,开放申购,开放赎回,nan
40,2020-03-06,1.6523,3.2295,-0.69,开放申购,开放赎回,nan
41,2020-03-09,1.6146,3.1918,-2.28,开放申购,开放赎回,nan
42,2020-03-10,1.6468,3.224,1.99,开放申购,开放赎回,nan
43,2020-03-11,1.6301,3.2073,-1.01,开放申购,开放赎回,nan
44,2020-03-12,1.6028,3.18,-1.67,开放申购,开放赎回,nan
45,2020-03-13,1.5871,3.1643,-0.98,开放申购,开放赎回,nan
