,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.4259,1.4259,-0.13,开放申购,开放赎回,nan
2,2020-01-06,1.4265,1.4265,0.04,开放申购,开放赎回,nan
3,2020-01-07,1.4363,1.4363,0.69,开放申购,开放赎回,nan
4,2020-01-08,1.3896,1.3896,-3.25,开放申购,开放赎回,nan
5,2020-01-09,1.409,1.409,1.4,开放申购,开放赎回,nan
6,2020-01-10,1.4105,1.4105,0.11,开放申购,开放赎回,nan
7,2020-01-13,1.4268,1.4268,1.16,开放申购,开放赎回,nan
8,2020-01-14,1.4102,1.4102,-1.16,开放申购,开放赎回,nan
9,2020-01-15,1.4042,1.4042,-0.43,开放申购,开放赎回,nan
10,2020-01-16,1.3975,1.3975,-0.48,开放申购,开放赎回,nan
11,2020-01-17,1.4014,1.4014,0.28,开放申购,开放赎回,nan
12,2020-01-20,1.4206,1.4206,1.37,开放申购,开放赎回,nan
13,2020-01-21,1.3968,1.3968,-1.68,开放申购,开放赎回,nan
14,2020-01-22,1.4061,1.4061,0.67,开放申购,开放赎回,nan
15,2020-01-23,1.355,1.355,-3.63,开放申购,开放赎回,nan
16,2020-02-03,1.2479,1.2479,-7.9,开放申购,开放赎回,nan
17,2020-02-04,1.2459,1.2459,-0.16,开放申购,开放赎回,nan
18,2020-02-05,1.2612,1.2612,1.23,开放申购,开放赎回,nan
19,2020-02-06,1.2929,1.2929,2.51,开放申购,开放赎回,nan
20,2020-02-07,1.296,1.296,0.24,开放申购,开放赎回,nan
21,2020-02-10,1.3075,1.3075,0.89,开放申购,开放赎回,nan
22,2020-02-11,1.304,1.304,-0.27,开放申购,开放赎回,nan
23,2020-02-12,1.3231,1.3231,1.46,开放申购,开放赎回,nan
24,2020-02-13,1.3015,1.3015,-1.63,开放申购,开放赎回,nan
25,2020-02-14,1.3226,1.3226,1.62,开放申购,开放赎回,nan
26,2020-02-17,1.3825,1.3825,4.53,开放申购,开放赎回,nan
27,2020-02-18,1.3749,1.3749,-0.55,开放申购,开放赎回,nan
28,2020-02-19,1.3781,1.3781,0.23,开放申购,开放赎回,nan
29,2020-02-20,1.4604,1.4604,5.97,开放申购,开放赎回,nan
30,2020-02-21,1.4622,1.4622,0.12,开放申购,开放赎回,nan
31,2020-02-24,1.462,1.462,-0.01,开放申购,开放赎回,nan
32,2020-02-25,1.4776,1.4776,1.07,开放申购,开放赎回,nan
33,2020-02-26,1.4497,1.4497,-1.89,开放申购,开放赎回,nan
34,2020-02-27,1.4514,1.4514,0.12,开放申购,开放赎回,nan
35,2020-02-28,1.3592,1.3592,-6.35,开放申购,开放赎回,nan
36,2020-03-02,1.4215,1.4215,4.58,开放申购,开放赎回,nan
37,2020-03-03,1.4344,1.4344,0.91,开放申购,开放赎回,nan
38,2020-03-04,1.4748,1.4748,2.82,开放申购,开放赎回,nan
39,2020-03-05,1.5129,1.5129,2.58,开放申购,开放赎回,nan
40,2020-03-06,1.4659,1.4659,-3.11,开放申购,开放赎回,nan
41,2020-03-09,1.4283,1.4283,-2.57,开放申购,开放赎回,nan
42,2020-03-10,1.4708,1.4708,2.98,开放申购,开放赎回,nan
43,2020-03-11,1.4309,1.4309,-2.71,开放申购,开放赎回,nan
44,2020-03-12,1.4151,1.4151,-1.1,开放申购,开放赎回,nan
45,2020-03-13,1.4067,1.4067,-0.59,开放申购,开放赎回,nan
46,2020-03-16,1.3309,1.3309,-5.39,开放申购,开放赎回,nan
47,2020-03-17,1.3363,1.3363,0.41,开放申购,开放赎回,nan
48,2020-03-18,1.2964,1.2964,-2.99,开放申购,开放赎回,nan
49,2020-03-19,1.312,1.312,1.2,开放申购,开放赎回,nan
50,2020-03-20,1.3224,1.3224,0.79,开放申购,开放赎回,nan
51,2020-03-23,1.2739,1.2739,-3.67,开放申购,开放赎回,nan
52,2020-03-24,1.2994,1.2994,2.0,开放申购,开放赎回,nan
53,2020-03-25,1.3197,1.3197,1.56,开放申购,开放赎回,nan
54,2020-03-26,1.3015,1.3015,-1.38,开放申购,开放赎回,nan
55,2020-03-27,1.3072,1.3072,0.44,开放申购,开放赎回,nan
56,2020-03-30,1.294,1.294,-1.01,开放申购,开放赎回,nan
57,2020-03-31,1.2886,1.2886,-0.42,开放申购,开放赎回,nan
58,2020-04-01,1.2847,1.2847,-0.3,开放申购,开放赎回,nan
59,2020-04-02,1.3071,1.3071,1.74,开放申购,开放赎回,nan
60,2020-04-03,1.2886,1.2886,-1.42,开放申购,开放赎回,nan
61,2020-04-07,1.3162,1.3162,2.14,开放申购,开放赎回,nan
62,2020-04-08,1.3116,1.3116,-0.35,开放申购,开放赎回,nan
63,2020-04-09,1.3229,1.3229,0.86,开放申购,开放赎回,nan
64,2020-04-10,1.304,1.304,-1.43,开放申购,开放赎回,nan
65,2020-04-13,1.2955,1.2955,-0.65,开放申购,开放赎回,nan
66,2020-04-14,1.326,1.326,2.35,开放申购,开放赎回,nan
67,2020-04-15,1.3102,1.3102,-1.19,开放申购,开放赎回,nan
68,2020-04-16,1.3237,1.3237,1.03,开放申购,开放赎回,nan
69,2020-04-17,1.3185,1.3185,-0.39,开放申购,开放赎回,nan
70,2020-04-20,1.3234,1.3234,0.37,开放申购,开放赎回,nan
71,2020-04-21,1.3021,1.3021,-1.61,开放申购,开放赎回,nan
72,2020-04-22,1.3047,1.3047,0.2,开放申购,开放赎回,nan
73,2020-04-23,1.2936,1.2936,-0.85,开放申购,开放赎回,nan
74,2020-04-24,1.2736,1.2736,-1.55,开放申购,开放赎回,nan
