,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.1274,1.1274,0.13,开放申购,开放赎回,nan
2,2020-01-06,1.1365,1.1365,0.81,开放申购,开放赎回,nan
3,2020-01-07,1.1419,1.1419,0.48,开放申购,开放赎回,nan
4,2020-01-08,1.131,1.131,-0.95,开放申购,开放赎回,nan
5,2020-01-09,1.1589,1.1589,2.47,开放申购,开放赎回,nan
6,2020-01-10,1.1654,1.1654,0.56,开放申购,开放赎回,nan
7,2020-01-13,1.1927,1.1927,2.34,开放申购,开放赎回,nan
8,2020-01-14,1.187,1.187,-0.48,开放申购,开放赎回,nan
9,2020-01-15,1.2032,1.2032,1.36,开放申购,开放赎回,nan
10,2020-01-16,1.2055,1.2055,0.19,开放申购,开放赎回,nan
11,2020-01-17,1.2094,1.2094,0.32,开放申购,开放赎回,nan
12,2020-01-20,1.2404,1.2404,2.56,开放申购,开放赎回,nan
13,2020-01-21,1.2296,1.2296,-0.87,开放申购,开放赎回,nan
14,2020-01-22,1.262,1.262,2.64,开放申购,开放赎回,nan
15,2020-01-23,1.2222,1.2222,-3.15,开放申购,开放赎回,nan
16,2020-02-03,1.1349,1.1349,-7.14,开放申购,开放赎回,nan
17,2020-02-04,1.1874,1.1874,4.63,开放申购,开放赎回,nan
18,2020-02-05,1.2057,1.2057,1.54,开放申购,开放赎回,nan
19,2020-02-06,1.2371,1.2371,2.6,开放申购,开放赎回,nan
20,2020-02-07,1.243,1.243,0.48,开放申购,开放赎回,nan
21,2020-02-10,1.2438,1.2438,0.06,开放申购,开放赎回,nan
22,2020-02-11,1.2552,1.2552,0.92,开放申购,开放赎回,nan
23,2020-02-12,1.2804,1.2804,2.01,开放申购,开放赎回,nan
24,2020-02-13,1.2705,1.2705,-0.77,开放申购,开放赎回,nan
25,2020-02-14,1.2705,1.2705,0.0,开放申购,开放赎回,nan
26,2020-02-17,1.3123,1.3123,3.29,开放申购,开放赎回,nan
27,2020-02-18,1.323,1.323,0.82,开放申购,开放赎回,nan
28,2020-02-19,1.3127,1.3127,-0.78,开放申购,开放赎回,nan
29,2020-02-20,1.3486,1.3486,2.73,开放申购,开放赎回,nan
30,2020-02-21,1.375,1.375,1.96,开放申购,开放赎回,nan
31,2020-02-24,1.4168,1.4168,3.04,开放申购,开放赎回,nan
32,2020-02-25,1.4404,1.4404,1.67,开放申购,开放赎回,nan
33,2020-02-26,1.3668,1.3668,-5.11,开放申购,开放赎回,nan
34,2020-02-27,1.3689,1.3689,0.15,开放申购,开放赎回,nan
35,2020-02-28,1.306,1.306,-4.59,开放申购,开放赎回,nan
36,2020-03-02,1.3473,1.3473,3.16,开放申购,开放赎回,nan
37,2020-03-03,1.3669,1.3669,1.45,开放申购,开放赎回,nan
38,2020-03-04,1.341,1.341,-1.89,开放申购,开放赎回,nan
39,2020-03-05,1.348,1.348,0.52,开放申购,开放赎回,nan
40,2020-03-06,1.3372,1.3372,-0.8,开放申购,开放赎回,nan
41,2020-03-09,1.2725,1.2725,-4.84,开放申购,开放赎回,nan
42,2020-03-10,1.3262,1.3262,4.22,开放申购,开放赎回,nan
43,2020-03-11,1.2943,1.2943,-2.41,开放申购,开放赎回,nan
44,2020-03-12,1.2667,1.2667,-2.13,开放申购,开放赎回,nan
45,2020-03-13,1.2613,1.2613,-0.43,开放申购,开放赎回,nan
46,2020-03-16,1.1858,1.1858,-5.99,开放申购,开放赎回,nan
47,2020-03-17,1.1844,1.1844,-0.12,开放申购,开放赎回,nan
48,2020-03-18,1.1654,1.1654,-1.6,开放申购,开放赎回,nan
49,2020-03-19,1.1809,1.1809,1.33,开放申购,开放赎回,nan
50,2020-03-20,1.1876,1.1876,0.57,开放申购,开放赎回,nan
51,2020-03-23,1.1357,1.1357,-4.37,开放申购,开放赎回,nan
52,2020-03-24,1.1571,1.1571,1.88,开放申购,开放赎回,nan
53,2020-03-25,1.1993,1.1993,3.65,开放申购,开放赎回,nan
54,2020-03-26,1.1837,1.1837,-1.3,开放申购,开放赎回,nan
55,2020-03-27,1.1758,1.1758,-0.67,开放申购,开放赎回,nan
56,2020-03-30,1.1478,1.1478,-2.38,开放申购,开放赎回,nan
57,2020-03-31,1.1523,1.1523,0.39,开放申购,开放赎回,nan
58,2020-04-01,1.1536,1.1536,0.11,开放申购,开放赎回,nan
59,2020-04-02,1.2008,1.2008,4.09,开放申购,开放赎回,nan
60,2020-04-03,1.1893,1.1893,-0.96,开放申购,开放赎回,nan
61,2020-04-07,1.2205,1.2205,2.62,开放申购,开放赎回,nan
62,2020-04-08,1.216,1.216,-0.37,开放申购,开放赎回,nan
63,2020-04-09,1.2185,1.2185,0.21,开放申购,开放赎回,nan
64,2020-04-10,1.1844,1.1844,-2.8,开放申购,开放赎回,nan
65,2020-04-13,1.1655,1.1655,-1.6,开放申购,开放赎回,nan
66,2020-04-14,1.2003,1.2003,2.99,开放申购,开放赎回,nan
67,2020-04-15,1.1997,1.1997,-0.05,开放申购,开放赎回,nan
68,2020-04-16,1.2065,1.2065,0.57,开放申购,开放赎回,nan
69,2020-04-17,1.2174,1.2174,0.9,开放申购,开放赎回,nan
70,2020-04-20,1.2269,1.2269,0.78,开放申购,开放赎回,nan
71,2020-04-21,1.2144,1.2144,-1.02,开放申购,开放赎回,nan
72,2020-04-22,1.2264,1.2264,0.99,开放申购,开放赎回,nan
73,2020-04-23,1.2126,1.2126,-1.13,开放申购,开放赎回,nan
74,2020-04-24,1.1936,1.1936,-1.57,开放申购,开放赎回,nan
