,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,2.158,2.158,-0.78,开放申购,开放赎回,nan
2,2020-01-06,2.172,2.172,0.65,开放申购,开放赎回,nan
3,2020-01-07,2.17,2.17,-0.09,开放申购,开放赎回,nan
4,2020-01-08,2.178,2.178,0.37,开放申购,开放赎回,nan
5,2020-01-09,2.198,2.198,0.92,开放申购,开放赎回,nan
6,2020-01-10,2.188,2.188,-0.46,开放申购,开放赎回,nan
7,2020-01-13,2.209,2.209,0.96,开放申购,开放赎回,nan
8,2020-01-14,2.19,2.19,-0.86,开放申购,开放赎回,nan
9,2020-01-15,2.187,2.187,-0.14,开放申购,开放赎回,nan
10,2020-01-16,2.206,2.206,0.87,开放申购,开放赎回,nan
11,2020-01-17,2.22,2.22,0.63,开放申购,开放赎回,nan
12,2020-01-21,2.209,2.209,,开放申购,开放赎回,nan
13,2020-01-22,2.222,2.222,0.59,开放申购,开放赎回,nan
14,2020-01-23,2.229,2.229,,开放申购,开放赎回,nan
15,2020-02-03,2.221,2.221,-0.36,开放申购,开放赎回,nan
16,2020-02-04,2.274,2.274,2.39,开放申购,开放赎回,nan
17,2020-02-05,2.28,2.28,0.26,开放申购,开放赎回,nan
18,2020-02-06,2.303,2.303,1.01,开放申购,开放赎回,nan
19,2020-02-07,2.287,2.287,-0.69,开放申购,开放赎回,nan
20,2020-02-10,2.315,2.315,1.22,开放申购,开放赎回,nan
21,2020-02-11,2.316,2.316,0.04,开放申购,开放赎回,nan
22,2020-02-12,2.332,2.332,0.69,限制大额申购,开放赎回,nan
23,2020-02-13,2.33,2.33,-0.09,限制大额申购,开放赎回,nan
24,2020-02-14,2.338,2.338,0.34,限制大额申购,开放赎回,nan
25,2020-02-18,2.339,2.339,,限制大额申购,开放赎回,nan
26,2020-02-19,2.364,2.364,1.07,限制大额申购,开放赎回,nan
27,2020-02-20,2.344,2.344,-0.85,限制大额申购,开放赎回,nan
28,2020-02-21,2.309,2.309,-1.49,限制大额申购,开放赎回,nan
29,2020-02-24,2.227,2.227,-3.55,限制大额申购,开放赎回,nan
30,2020-02-25,2.167,2.167,-2.69,限制大额申购,开放赎回,nan
31,2020-02-26,2.174,2.174,0.32,限制大额申购,开放赎回,nan
32,2020-02-27,2.074,2.074,-4.6,限制大额申购,开放赎回,nan
33,2020-02-28,2.072,2.072,-0.1,限制大额申购,开放赎回,nan
34,2020-03-02,2.166,2.166,4.54,限制大额申购,开放赎回,nan
35,2020-03-03,2.089,2.089,-3.55,限制大额申购,开放赎回,nan
36,2020-03-04,2.171,2.171,3.93,限制大额申购,开放赎回,nan
37,2020-03-05,2.102,2.102,-3.18,限制大额申购,开放赎回,nan
38,2020-03-06,2.068,2.068,-1.62,限制大额申购,开放赎回,nan
39,2020-03-09,1.932,1.932,-6.58,限制大额申购,开放赎回,nan
40,2020-03-10,2.034,2.034,5.28,限制大额申购,开放赎回,nan
41,2020-03-11,1.955,1.955,-3.88,限制大额申购,开放赎回,nan
42,2020-03-12,1.785,1.785,-8.7,限制大额申购,开放赎回,nan
43,2020-03-13,1.963,1.963,9.97,限制大额申购,开放赎回,nan
44,2020-03-16,1.727,1.727,-12.02,限制大额申购,开放赎回,nan
45,2020-03-17,1.835,1.835,6.25,限制大额申购,开放赎回,nan
46,2020-03-18,1.771,1.771,-3.49,限制大额申购,开放赎回,nan
47,2020-03-19,1.802,1.802,1.75,限制大额申购,开放赎回,nan
48,2020-03-20,1.747,1.747,-3.05,限制大额申购,开放赎回,nan
49,2020-03-23,1.747,1.747,0.0,限制大额申购,开放赎回,nan
50,2020-03-24,1.873,1.873,7.21,限制大额申购,开放赎回,nan
51,2020-03-25,1.847,1.847,-1.39,限制大额申购,开放赎回,nan
52,2020-03-26,1.939,1.939,4.98,限制大额申购,开放赎回,nan
53,2020-03-27,1.867,1.867,-3.71,限制大额申购,开放赎回,nan
54,2020-03-30,1.929,1.929,3.32,限制大额申购,开放赎回,nan
55,2020-03-31,1.923,1.923,-0.31,限制大额申购,开放赎回,nan
56,2020-04-01,1.846,1.846,-4.0,限制大额申购,开放赎回,nan
57,2020-04-02,1.886,1.886,2.17,限制大额申购,开放赎回,nan
58,2020-04-03,1.865,1.865,-1.11,限制大额申购,开放赎回,nan
59,2020-04-07,1.975,1.975,5.9,限制大额申购,开放赎回,nan
60,2020-04-08,2.004,2.004,1.47,限制大额申购,开放赎回,nan
61,2020-04-09,2.008,2.008,0.2,限制大额申购,开放赎回,nan
62,2020-04-13,2.023,2.023,,限制大额申购,开放赎回,nan
63,2020-04-14,2.108,2.108,4.2,限制大额申购,开放赎回,nan
64,2020-04-15,2.086,2.086,-1.04,限制大额申购,开放赎回,nan
65,2020-04-16,2.132,2.132,2.21,限制大额申购,开放赎回,nan
66,2020-04-17,2.149,2.149,0.8,限制大额申购,开放赎回,nan
67,2020-04-20,2.122,2.122,-1.26,限制大额申购,开放赎回,nan
68,2020-04-21,2.052,2.052,-3.3,限制大额申购,开放赎回,nan
69,2020-04-22,2.115,2.115,3.07,限制大额申购,开放赎回,nan
70,2020-04-23,2.109,2.109,-0.28,限制大额申购,开放赎回,nan
