,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,3.014,3.014,-1.44,开放申购,开放赎回,nan
2,2020-01-06,2.993,2.993,-0.7,开放申购,开放赎回,nan
3,2020-01-07,3.023,3.023,1.0,开放申购,开放赎回,nan
4,2020-01-08,3.031,3.031,0.26,开放申购,开放赎回,nan
5,2020-01-09,3.087,3.087,1.85,开放申购,开放赎回,nan
6,2020-01-10,3.136,3.136,1.59,开放申购,开放赎回,nan
7,2020-01-13,3.146,3.146,0.32,开放申购,开放赎回,nan
8,2020-01-14,3.112,3.112,-1.08,开放申购,开放赎回,nan
9,2020-01-15,3.127,3.127,0.48,开放申购,开放赎回,nan
10,2020-01-16,3.133,3.133,0.19,开放申购,开放赎回,nan
11,2020-01-17,3.149,3.149,0.51,开放申购,开放赎回,nan
12,2020-01-20,3.134,3.134,-0.48,开放申购,开放赎回,nan
13,2020-01-21,3.071,3.071,-2.01,开放申购,开放赎回,nan
14,2020-01-22,3.072,3.072,0.03,开放申购,开放赎回,nan
15,2020-01-23,2.969,2.969,-3.35,开放申购,开放赎回,nan
16,2020-02-03,2.731,2.731,-8.02,开放申购,开放赎回,nan
17,2020-02-04,2.768,2.768,1.35,开放申购,开放赎回,nan
18,2020-02-05,2.798,2.798,1.08,开放申购,开放赎回,nan
19,2020-02-06,2.832,2.832,1.22,开放申购,开放赎回,nan
20,2020-02-07,2.838,2.838,0.21,开放申购,开放赎回,nan
21,2020-02-10,2.848,2.848,0.35,开放申购,开放赎回,nan
22,2020-02-11,2.911,2.911,2.21,开放申购,开放赎回,nan
23,2020-02-12,2.915,2.915,0.14,开放申购,开放赎回,nan
24,2020-02-13,2.889,2.889,-0.89,开放申购,开放赎回,nan
25,2020-02-14,2.884,2.884,-0.17,开放申购,开放赎回,nan
26,2020-02-17,2.909,2.909,0.87,开放申购,开放赎回,nan
27,2020-02-18,2.894,2.894,-0.52,开放申购,开放赎回,nan
28,2020-02-19,2.925,2.925,1.07,开放申购,开放赎回,nan
29,2020-02-20,3.018,3.018,3.18,开放申购,开放赎回,nan
30,2020-02-21,3.009,3.009,-0.3,开放申购,开放赎回,nan
31,2020-02-24,2.971,2.971,-1.26,开放申购,开放赎回,nan
32,2020-02-25,2.957,2.957,-0.47,开放申购,开放赎回,nan
33,2020-02-26,2.925,2.925,-1.08,开放申购,开放赎回,nan
34,2020-02-27,2.964,2.964,1.33,开放申购,开放赎回,nan
35,2020-02-28,2.862,2.862,-3.44,开放申购,开放赎回,nan
36,2020-03-02,2.931,2.931,2.41,开放申购,开放赎回,nan
37,2020-03-03,2.951,2.951,0.68,开放申购,开放赎回,nan
38,2020-03-04,2.97,2.97,0.64,开放申购,开放赎回,nan
39,2020-03-05,3.115,3.115,4.88,开放申购,开放赎回,nan
40,2020-03-06,3.048,3.048,-2.15,开放申购,开放赎回,nan
41,2020-03-09,2.943,2.943,-3.44,开放申购,开放赎回,nan
42,2020-03-10,3.023,3.023,2.72,开放申购,开放赎回,nan
43,2020-03-11,3.005,3.005,-0.6,开放申购,开放赎回,nan
44,2020-03-12,2.938,2.938,-2.23,开放申购,开放赎回,nan
45,2020-03-13,2.889,2.889,-1.67,开放申购,开放赎回,nan
46,2020-03-16,2.789,2.789,-3.46,开放申购,开放赎回,nan
47,2020-03-17,2.737,2.737,-1.86,开放申购,开放赎回,nan
48,2020-03-18,2.688,2.688,-1.79,开放申购,开放赎回,nan
49,2020-03-19,2.607,2.607,-3.01,开放申购,开放赎回,nan
50,2020-03-20,2.67,2.67,2.42,开放申购,开放赎回,nan
51,2020-03-23,2.586,2.586,-3.15,开放申购,开放赎回,nan
52,2020-03-24,2.677,2.677,3.52,开放申购,开放赎回,nan
53,2020-03-25,2.755,2.755,2.91,开放申购,开放赎回,nan
54,2020-03-26,2.757,2.757,0.07,开放申购,开放赎回,nan
55,2020-03-27,2.79,2.79,1.2,开放申购,开放赎回,nan
56,2020-03-30,2.751,2.751,-1.4,开放申购,开放赎回,nan
57,2020-03-31,2.794,2.794,1.56,开放申购,开放赎回,nan
58,2020-04-01,2.781,2.781,-0.47,开放申购,开放赎回,nan
59,2020-04-02,2.807,2.807,0.93,开放申购,开放赎回,nan
60,2020-04-03,2.798,2.798,-0.32,开放申购,开放赎回,nan
61,2020-04-07,2.851,2.851,1.89,开放申购,开放赎回,nan
62,2020-04-08,2.839,2.839,-0.42,开放申购,开放赎回,nan
63,2020-04-09,2.858,2.858,0.67,开放申购,开放赎回,nan
64,2020-04-10,2.882,2.882,0.84,开放申购,开放赎回,nan
65,2020-04-13,2.895,2.895,0.45,开放申购,开放赎回,nan
66,2020-04-14,2.93,2.93,1.21,开放申购,开放赎回,nan
67,2020-04-15,2.921,2.921,-0.31,开放申购,开放赎回,nan
68,2020-04-16,2.905,2.905,-0.55,开放申购,开放赎回,nan
69,2020-04-17,2.929,2.929,0.83,开放申购,开放赎回,nan
70,2020-04-20,2.942,2.942,0.44,开放申购,开放赎回,nan
71,2020-04-21,2.893,2.893,-1.67,开放申购,开放赎回,nan
72,2020-04-22,2.953,2.953,2.07,开放申购,开放赎回,nan
73,2020-04-23,2.975,2.975,0.75,开放申购,开放赎回,nan
74,2020-04-24,2.984,2.984,0.3,开放申购,开放赎回,nan
