,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-10,1.0523,1.0523,,封闭期,封闭期,nan
2,2020-01-17,1.0757,1.0757,,封闭期,封闭期,nan
3,2020-01-23,1.0959,1.0959,,封闭期,封闭期,nan
4,2020-02-07,1.0716,1.0716,,封闭期,封闭期,nan
5,2020-02-10,1.0715,1.0715,-0.01,开放申购,开放赎回,nan
6,2020-02-11,1.0921,1.0921,1.92,开放申购,开放赎回,nan
7,2020-02-12,1.106,1.106,1.27,开放申购,开放赎回,nan
8,2020-02-13,1.1069,1.1069,0.08,开放申购,开放赎回,nan
9,2020-02-14,1.1193,1.1193,1.12,开放申购,开放赎回,nan
10,2020-02-17,1.1707,1.1707,4.59,开放申购,开放赎回,nan
11,2020-02-18,1.1908,1.1908,1.72,开放申购,开放赎回,nan
12,2020-02-19,1.1835,1.1835,-0.61,开放申购,开放赎回,nan
13,2020-02-20,1.2224,1.2224,3.29,开放申购,开放赎回,nan
14,2020-02-21,1.2561,1.2561,2.76,开放申购,开放赎回,nan
15,2020-02-24,1.3158,1.3158,4.75,开放申购,开放赎回,nan
16,2020-02-25,1.353,1.353,2.83,开放申购,开放赎回,nan
17,2020-02-26,1.2823,1.2823,-5.23,开放申购,开放赎回,nan
18,2020-02-27,1.2695,1.2695,-1.0,开放申购,开放赎回,nan
19,2020-02-28,1.2117,1.2117,-4.55,开放申购,开放赎回,nan
20,2020-03-02,1.2625,1.2625,4.19,开放申购,开放赎回,nan
21,2020-03-03,1.259,1.259,-0.28,开放申购,开放赎回,nan
22,2020-03-04,1.2232,1.2232,-2.84,开放申购,开放赎回,nan
23,2020-03-05,1.2287,1.2287,0.45,开放申购,开放赎回,nan
24,2020-03-06,1.215,1.215,-1.12,开放申购,开放赎回,nan
25,2020-03-09,1.1587,1.1587,-4.63,开放申购,开放赎回,nan
26,2020-03-10,1.2295,1.2295,6.11,开放申购,开放赎回,nan
27,2020-03-11,1.196,1.196,-2.72,开放申购,开放赎回,nan
28,2020-03-12,1.1813,1.1813,-1.23,开放申购,开放赎回,nan
29,2020-03-13,1.1809,1.1809,-0.03,开放申购,开放赎回,nan
30,2020-03-16,1.0849,1.0849,-8.13,开放申购,开放赎回,nan
31,2020-03-17,1.0692,1.0692,-1.45,开放申购,开放赎回,nan
32,2020-03-18,1.0428,1.0428,-2.47,开放申购,开放赎回,nan
33,2020-03-19,1.075,1.075,3.09,开放申购,开放赎回,nan
34,2020-03-20,1.0735,1.0735,-0.14,开放申购,开放赎回,nan
35,2020-03-23,1.0109,1.0109,-5.83,开放申购,开放赎回,nan
36,2020-03-24,1.0316,1.0316,2.05,开放申购,开放赎回,nan
37,2020-03-25,1.0687,1.0687,3.6,开放申购,开放赎回,nan
38,2020-03-26,1.0435,1.0435,-2.36,开放申购,开放赎回,nan
39,2020-03-27,1.031,1.031,-1.2,开放申购,开放赎回,nan
40,2020-03-30,1.0063,1.0063,-2.4,开放申购,开放赎回,nan
41,2020-03-31,0.9997,0.9997,-0.66,开放申购,开放赎回,nan
42,2020-04-01,1.0034,1.0034,0.37,开放申购,开放赎回,nan
43,2020-04-02,1.0577,1.0577,5.41,开放申购,开放赎回,nan
44,2020-04-03,1.0396,1.0396,-1.71,开放申购,开放赎回,nan
45,2020-04-07,1.0676,1.0676,2.69,开放申购,开放赎回,nan
46,2020-04-08,1.0749,1.0749,0.68,开放申购,开放赎回,nan
47,2020-04-09,1.0706,1.0706,-0.4,开放申购,开放赎回,nan
48,2020-04-10,1.0309,1.0309,-3.71,开放申购,开放赎回,nan
49,2020-04-13,1.006,1.006,-2.42,开放申购,开放赎回,nan
50,2020-04-14,1.0387,1.0387,3.25,开放申购,开放赎回,nan
51,2020-04-15,1.0432,1.0432,0.43,开放申购,开放赎回,nan
52,2020-04-16,1.0453,1.0453,0.2,开放申购,开放赎回,nan
53,2020-04-17,1.0647,1.0647,1.86,开放申购,开放赎回,nan
54,2020-04-20,1.0772,1.0772,1.17,开放申购,开放赎回,nan
55,2020-04-21,1.0654,1.0654,-1.1,开放申购,开放赎回,nan
56,2020-04-22,1.0676,1.0676,0.21,开放申购,开放赎回,nan
57,2020-04-23,1.0487,1.0487,-1.77,开放申购,开放赎回,nan
58,2020-04-24,1.0303,1.0303,-1.75,开放申购,开放赎回,nan
