,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.0126,1.0126,0.02,限制大额申购,开放赎回,nan
2,2020-01-06,1.013,1.013,0.04,限制大额申购,开放赎回,nan
3,2020-01-07,1.0132,1.0132,0.02,限制大额申购,开放赎回,nan
4,2020-01-08,1.0133,1.0133,0.01,限制大额申购,开放赎回,nan
5,2020-01-09,1.0134,1.0134,0.01,限制大额申购,开放赎回,nan
6,2020-01-10,1.0136,1.0136,0.02,限制大额申购,开放赎回,nan
7,2020-01-13,1.0138,1.0138,0.02,限制大额申购,开放赎回,nan
8,2020-01-14,1.0139,1.0139,0.01,限制大额申购,开放赎回,nan
9,2020-01-15,1.0139,1.0139,0.0,限制大额申购,开放赎回,nan
10,2020-01-16,1.014,1.014,0.01,限制大额申购,开放赎回,nan
11,2020-01-17,1.0141,1.0141,0.01,限制大额申购,开放赎回,nan
12,2020-01-20,1.0143,1.0143,0.02,限制大额申购,开放赎回,nan
13,2020-01-21,1.0145,1.0145,0.02,限制大额申购,开放赎回,nan
14,2020-01-22,1.0145,1.0145,0.0,限制大额申购,开放赎回,nan
15,2020-01-23,1.0147,1.0147,0.02,限制大额申购,开放赎回,nan
16,2020-02-03,1.0161,1.0161,0.14,限制大额申购,开放赎回,nan
17,2020-02-04,1.0162,1.0162,0.01,限制大额申购,开放赎回,nan
18,2020-02-05,1.0163,1.0163,0.01,限制大额申购,开放赎回,nan
19,2020-02-06,1.0165,1.0165,0.02,限制大额申购,开放赎回,nan
20,2020-02-07,1.0168,1.0168,0.03,限制大额申购,开放赎回,nan
21,2020-02-10,1.0171,1.0171,0.03,限制大额申购,开放赎回,nan
22,2020-02-11,1.0173,1.0173,0.02,限制大额申购,开放赎回,nan
23,2020-02-12,1.0175,1.0175,0.02,限制大额申购,开放赎回,nan
24,2020-02-13,1.0176,1.0176,0.01,限制大额申购,开放赎回,nan
25,2020-02-14,1.0177,1.0177,0.01,限制大额申购,开放赎回,nan
26,2020-02-17,1.0181,1.0181,0.04,限制大额申购,开放赎回,nan
27,2020-02-18,1.0183,1.0183,0.02,限制大额申购,开放赎回,nan
28,2020-02-19,1.0184,1.0184,0.01,限制大额申购,开放赎回,nan
29,2020-02-20,1.0185,1.0185,0.01,限制大额申购,开放赎回,nan
30,2020-02-21,1.0187,1.0187,0.02,限制大额申购,开放赎回,nan
31,2020-02-24,1.019,1.019,0.03,限制大额申购,开放赎回,nan
32,2020-02-25,1.0191,1.0191,0.01,限制大额申购,开放赎回,nan
33,2020-02-26,1.0193,1.0193,0.02,限制大额申购,开放赎回,nan
34,2020-02-27,1.0195,1.0195,0.02,限制大额申购,开放赎回,nan
35,2020-02-28,1.0196,1.0196,0.01,限制大额申购,开放赎回,nan
36,2020-03-02,1.0199,1.0199,0.03,限制大额申购,开放赎回,nan
37,2020-03-03,1.02,1.02,0.01,限制大额申购,开放赎回,nan
38,2020-03-04,1.0202,1.0202,0.02,限制大额申购,开放赎回,nan
39,2020-03-05,1.0204,1.0204,0.02,限制大额申购,开放赎回,nan
40,2020-03-06,1.0207,1.0207,0.03,限制大额申购,开放赎回,nan
41,2020-03-09,1.0212,1.0212,0.05,限制大额申购,开放赎回,nan
42,2020-03-10,1.0213,1.0213,0.01,限制大额申购,开放赎回,nan
43,2020-03-11,1.0214,1.0214,0.01,限制大额申购,开放赎回,nan
44,2020-03-12,1.0215,1.0215,0.01,限制大额申购,开放赎回,nan
45,2020-03-13,1.0216,1.0216,0.01,限制大额申购,开放赎回,nan
46,2020-03-16,1.0217,1.0217,0.01,限制大额申购,开放赎回,nan
47,2020-03-17,1.0218,1.0218,0.01,限制大额申购,开放赎回,nan
48,2020-03-18,1.022,1.022,0.02,限制大额申购,开放赎回,nan
49,2020-03-19,1.0221,1.0221,0.01,限制大额申购,开放赎回,nan
50,2020-03-20,1.0222,1.0222,0.01,限制大额申购,开放赎回,nan
51,2020-03-23,1.0227,1.0227,0.05,限制大额申购,开放赎回,nan
52,2020-03-24,1.0229,1.0229,0.02,限制大额申购,开放赎回,nan
53,2020-03-25,1.0229,1.0229,0.0,限制大额申购,开放赎回,nan
54,2020-03-26,1.023,1.023,0.01,限制大额申购,开放赎回,nan
55,2020-03-27,1.0231,1.0231,0.01,限制大额申购,开放赎回,nan
56,2020-03-30,1.0233,1.0233,0.02,限制大额申购,开放赎回,nan
57,2020-03-31,1.0234,1.0234,0.01,限制大额申购,开放赎回,nan
58,2020-04-01,1.0236,1.0236,0.02,限制大额申购,开放赎回,nan
59,2020-04-02,1.0238,1.0238,0.02,限制大额申购,开放赎回,nan
60,2020-04-03,1.0239,1.0239,0.01,限制大额申购,开放赎回,nan
61,2020-04-07,1.0248,1.0248,0.09,限制大额申购,开放赎回,nan
62,2020-04-08,1.0252,1.0252,0.04,限制大额申购,开放赎回,nan
63,2020-04-09,1.0255,1.0255,0.03,限制大额申购,开放赎回,nan
64,2020-04-10,1.0256,1.0256,0.01,限制大额申购,开放赎回,nan
65,2020-04-13,1.0258,1.0258,0.02,限制大额申购,开放赎回,nan
66,2020-04-14,1.0263,1.0263,0.05,限制大额申购,开放赎回,nan
67,2020-04-15,1.0265,1.0265,0.02,限制大额申购,开放赎回,nan
68,2020-04-16,1.0266,1.0266,0.01,限制大额申购,开放赎回,nan
69,2020-04-17,1.0268,1.0268,0.02,限制大额申购,开放赎回,nan
70,2020-04-20,1.0275,1.0275,0.07,限制大额申购,开放赎回,nan
71,2020-04-21,1.0278,1.0278,0.03,限制大额申购,开放赎回,nan
72,2020-04-22,1.0278,1.0278,0.0,限制大额申购,开放赎回,nan
73,2020-04-23,1.0279,1.0279,0.01,限制大额申购,开放赎回,nan
74,2020-04-24,1.028,1.028,0.01,限制大额申购,开放赎回,nan
