,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.2798,1.2798,0.24,开放申购,开放赎回,nan
2,2020-01-06,1.2715,1.2715,-0.65,开放申购,开放赎回,nan
3,2020-01-07,1.2768,1.2768,0.42,开放申购,开放赎回,nan
4,2020-01-08,1.2574,1.2574,-1.52,开放申购,开放赎回,nan
5,2020-01-09,1.2632,1.2632,0.46,开放申购,开放赎回,nan
6,2020-01-10,1.263,1.263,-0.02,开放申购,开放赎回,nan
7,2020-01-13,1.2662,1.2662,0.25,开放申购,开放赎回,nan
8,2020-01-14,1.2631,1.2631,-0.24,开放申购,开放赎回,nan
9,2020-01-15,1.2501,1.2501,-1.03,开放申购,开放赎回,nan
10,2020-01-16,1.2421,1.2421,-0.64,开放申购,开放赎回,nan
11,2020-01-17,1.242,1.242,-0.01,开放申购,开放赎回,nan
12,2020-01-20,1.2482,1.2482,0.5,开放申购,开放赎回,nan
13,2020-01-21,1.2316,1.2316,-1.33,开放申购,开放赎回,nan
14,2020-01-22,1.2313,1.2313,-0.02,开放申购,开放赎回,nan
15,2020-01-23,1.2034,1.2034,-2.27,开放申购,开放赎回,nan
16,2020-02-03,1.1316,1.1316,-5.97,开放申购,开放赎回,nan
17,2020-02-04,1.1541,1.1541,1.99,开放申购,开放赎回,nan
18,2020-02-05,1.1535,1.1535,-0.05,开放申购,开放赎回,nan
19,2020-02-06,1.1607,1.1607,0.62,开放申购,开放赎回,nan
20,2020-02-07,1.1565,1.1565,-0.36,开放申购,开放赎回,nan
21,2020-02-10,1.1521,1.1521,-0.38,开放申购,开放赎回,nan
22,2020-02-11,1.1635,1.1635,0.99,开放申购,开放赎回,nan
23,2020-02-12,1.1656,1.1656,0.18,开放申购,开放赎回,nan
24,2020-02-13,1.1566,1.1566,-0.77,开放申购,开放赎回,nan
25,2020-02-14,1.1663,1.1663,0.84,开放申购,开放赎回,nan
26,2020-02-17,1.1859,1.1859,1.68,开放申购,开放赎回,nan
27,2020-02-18,1.1746,1.1746,-0.95,开放申购,开放赎回,nan
28,2020-02-19,1.1743,1.1743,-0.03,开放申购,开放赎回,nan
29,2020-02-20,1.1883,1.1883,1.19,开放申购,开放赎回,nan
30,2020-02-21,1.1854,1.1854,-0.24,开放申购,开放赎回,nan
31,2020-02-24,1.1722,1.1722,-1.11,开放申购,开放赎回,nan
32,2020-02-25,1.1614,1.1614,-0.92,开放申购,开放赎回,nan
33,2020-02-26,1.1658,1.1658,0.38,开放申购,开放赎回,nan
34,2020-02-27,1.1717,1.1717,0.51,开放申购,开放赎回,nan
35,2020-02-28,1.1422,1.1422,-2.52,开放申购,开放赎回,nan
36,2020-03-02,1.1619,1.1619,1.72,开放申购,开放赎回,nan
37,2020-03-03,1.1641,1.1641,0.19,开放申购,开放赎回,nan
38,2020-03-04,1.1662,1.1662,0.18,开放申购,开放赎回,nan
39,2020-03-05,1.1952,1.1952,2.49,开放申购,开放赎回,nan
40,2020-03-06,1.1774,1.1774,-1.49,开放申购,开放赎回,nan
41,2020-03-09,1.1493,1.1493,-2.39,开放申购,开放赎回,nan
42,2020-03-10,1.161,1.161,1.02,开放申购,开放赎回,nan
43,2020-03-11,1.1513,1.1513,-0.84,开放申购,开放赎回,nan
44,2020-03-12,1.1454,1.1454,-0.51,开放申购,开放赎回,nan
45,2020-03-13,1.1354,1.1354,-0.87,开放申购,开放赎回,nan
46,2020-03-16,1.104,1.104,-2.77,开放申购,开放赎回,nan
47,2020-03-17,1.1015,1.1015,-0.23,开放申购,开放赎回,nan
