,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.3034,1.3034,-0.21,开放申购,开放赎回,nan
2,2020-01-06,1.2969,1.2969,-0.5,开放申购,开放赎回,nan
3,2020-01-07,1.3056,1.3056,0.67,开放申购,开放赎回,nan
4,2020-01-08,1.2913,1.2913,-1.1,开放申购,开放赎回,nan
5,2020-01-09,1.3085,1.3085,1.33,开放申购,开放赎回,nan
6,2020-01-10,1.3088,1.3088,0.02,开放申购,开放赎回,nan
7,2020-01-13,1.3197,1.3197,0.83,开放申购,开放赎回,nan
8,2020-01-14,1.314,1.314,-0.43,开放申购,开放赎回,nan
9,2020-01-15,1.3083,1.3083,-0.43,开放申购,开放赎回,nan
10,2020-01-16,1.3051,1.3051,-0.24,开放申购,开放赎回,nan
11,2020-01-17,1.3073,1.3073,0.17,开放申购,开放赎回,nan
12,2020-01-20,1.3174,1.3174,0.77,开放申购,开放赎回,nan
13,2020-01-21,1.2954,1.2954,-1.67,开放申购,开放赎回,nan
14,2020-01-22,1.3033,1.3033,0.61,开放申购,开放赎回,nan
15,2020-01-23,1.2655,1.2655,-2.9,开放申购,开放赎回,nan
16,2020-02-03,1.1739,1.1739,-7.24,开放申购,开放赎回,nan
17,2020-02-04,1.2138,1.2138,3.4,开放申购,开放赎回,nan
18,2020-02-05,1.2261,1.2261,1.01,开放申购,开放赎回,nan
19,2020-02-06,1.2484,1.2484,1.82,开放申购,开放赎回,nan
20,2020-02-07,1.248,1.248,-0.03,开放申购,开放赎回,nan
21,2020-02-10,1.2518,1.2518,0.3,开放申购,开放赎回,nan
22,2020-02-11,1.2636,1.2636,0.94,开放申购,开放赎回,nan
23,2020-02-12,1.2749,1.2749,0.89,开放申购,开放赎回,nan
24,2020-02-13,1.271,1.271,-0.31,开放申购,开放赎回,nan
25,2020-02-14,1.2787,1.2787,0.61,开放申购,开放赎回,nan
26,2020-02-17,1.3078,1.3078,2.28,开放申购,开放赎回,nan
27,2020-02-18,1.3034,1.3034,-0.34,开放申购,开放赎回,nan
28,2020-02-19,1.3015,1.3015,-0.15,开放申购,开放赎回,nan
29,2020-02-20,1.3288,1.3288,2.1,开放申购,开放赎回,nan
30,2020-02-21,1.3305,1.3305,0.13,开放申购,开放赎回,nan
31,2020-02-24,1.3251,1.3251,-0.41,开放申购,开放赎回,nan
32,2020-02-25,1.321,1.321,-0.31,开放申购,开放赎回,nan
33,2020-02-26,1.3052,1.3052,-1.2,开放申购,开放赎回,nan
34,2020-02-27,1.3146,1.3146,0.72,开放申购,开放赎回,nan
35,2020-02-28,1.2732,1.2732,-3.15,开放申购,开放赎回,nan
36,2020-03-02,1.3116,1.3116,3.02,开放申购,开放赎回,nan
37,2020-03-03,1.317,1.317,0.41,开放申购,开放赎回,nan
38,2020-03-04,1.3219,1.3219,0.37,开放申购,开放赎回,nan
39,2020-03-05,1.3494,1.3494,2.08,开放申购,开放赎回,nan
40,2020-03-06,1.3297,1.3297,-1.46,开放申购,开放赎回,nan
41,2020-03-09,1.2835,1.2835,-3.47,开放申购,开放赎回,nan
42,2020-03-10,1.3095,1.3095,2.03,开放申购,开放赎回,nan
43,2020-03-11,1.2912,1.2912,-1.4,开放申购,开放赎回,nan
44,2020-03-12,1.2662,1.2662,-1.94,开放申购,开放赎回,nan
45,2020-03-13,1.2498,1.2498,-1.3,开放申购,开放赎回,nan
46,2020-03-16,1.1934,1.1934,-4.51,开放申购,开放赎回,nan
47,2020-03-17,1.1865,1.1865,-0.58,开放申购,开放赎回,nan
48,2020-03-18,1.165,1.165,-1.81,开放申购,开放赎回,nan
49,2020-03-19,1.1493,1.1493,-1.35,开放申购,开放赎回,nan
50,2020-03-20,1.1716,1.1716,1.94,开放申购,开放赎回,nan
51,2020-03-23,1.1351,1.1351,-3.12,开放申购,开放赎回,nan
52,2020-03-24,1.1667,1.1667,2.78,开放申购,开放赎回,nan
53,2020-03-25,1.1997,1.1997,2.83,开放申购,开放赎回,nan
54,2020-03-26,1.193,1.193,-0.56,开放申购,开放赎回,nan
55,2020-03-27,1.1967,1.1967,0.31,开放申购,开放赎回,nan
56,2020-03-30,1.1848,1.1848,-0.99,开放申购,开放赎回,nan
57,2020-03-31,1.1907,1.1907,0.5,开放申购,开放赎回,nan
58,2020-04-01,1.1878,1.1878,-0.24,开放申购,开放赎回,nan
59,2020-04-02,1.2062,1.2062,1.55,开放申购,开放赎回,nan
60,2020-04-03,1.201,1.201,-0.43,开放申购,开放赎回,nan
61,2020-04-07,1.2274,1.2274,2.2,开放申购,开放赎回,nan
62,2020-04-08,1.2196,1.2196,-0.64,开放申购,开放赎回,nan
63,2020-04-09,1.2231,1.2231,0.29,开放申购,开放赎回,nan
64,2020-04-10,1.2162,1.2162,-0.56,开放申购,开放赎回,nan
65,2020-04-13,1.2114,1.2114,-0.39,开放申购,开放赎回,nan
66,2020-04-14,1.2352,1.2352,1.96,开放申购,开放赎回,nan
67,2020-04-15,1.2266,1.2266,-0.7,开放申购,开放赎回,nan
68,2020-04-16,1.2301,1.2301,0.29,开放申购,开放赎回,nan
69,2020-04-17,1.2427,1.2427,1.02,开放申购,开放赎回,nan
70,2020-04-20,1.2479,1.2479,0.42,开放申购,开放赎回,nan
71,2020-04-21,1.235,1.235,-1.03,开放申购,开放赎回,nan
72,2020-04-22,1.2451,1.2451,0.82,开放申购,开放赎回,nan
73,2020-04-23,1.2425,1.2425,-0.21,开放申购,开放赎回,nan
74,2020-04-24,1.235,1.235,-0.6,开放申购,开放赎回,nan
