,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.8226,3.7226,-0.22,开放申购,开放赎回,nan
2,2020-01-06,1.8043,3.7043,-1.0,开放申购,开放赎回,nan
3,2020-01-07,1.8185,3.7185,0.79,开放申购,开放赎回,nan
4,2020-01-08,1.8006,3.7006,-0.98,开放申购,开放赎回,nan
5,2020-01-09,1.8201,3.7201,1.08,开放申购,开放赎回,nan
6,2020-01-10,1.8233,3.7233,0.18,开放申购,开放赎回,nan
7,2020-01-13,1.8414,3.7414,0.99,开放申购,开放赎回,nan
8,2020-01-14,1.8286,3.7286,-0.7,开放申购,开放赎回,nan
9,2020-01-15,1.8242,3.7242,-0.24,开放申购,开放赎回,nan
10,2020-01-16,1.8186,3.7186,-0.31,开放申购,开放赎回,nan
11,2020-01-17,1.8235,3.7235,0.27,开放申购,开放赎回,nan
12,2020-01-20,1.8314,3.7314,0.43,开放申购,开放赎回,nan
13,2020-01-21,1.8017,3.7017,-1.62,开放申购,开放赎回,nan
14,2020-01-22,1.8043,3.7043,0.14,开放申购,开放赎回,nan
15,2020-01-23,1.7538,3.6538,-2.8,开放申购,开放赎回,nan
16,2020-02-03,1.6446,3.5446,-6.23,开放申购,开放赎回,nan
17,2020-02-04,1.6912,3.5912,2.83,开放申购,开放赎回,nan
18,2020-02-05,1.7048,3.6048,0.8,开放申购,开放赎回,nan
19,2020-02-06,1.7352,3.6352,1.78,开放申购,开放赎回,nan
20,2020-02-07,1.7306,3.6306,-0.27,开放申购,开放赎回,nan
21,2020-02-10,1.7254,3.6254,-0.3,开放申购,开放赎回,nan
22,2020-02-11,1.7459,3.6459,1.19,开放申购,开放赎回,nan
23,2020-02-12,1.7522,3.6522,0.36,开放申购,开放赎回,nan
24,2020-02-13,1.7386,3.6386,-0.78,开放申购,开放赎回,nan
25,2020-02-14,1.7487,3.6487,0.58,开放申购,开放赎回,nan
26,2020-02-17,1.7698,3.6698,1.21,开放申购,开放赎回,nan
27,2020-02-18,1.7532,3.6532,-0.94,开放申购,开放赎回,nan
28,2020-02-19,1.7547,3.6547,0.09,开放申购,开放赎回,nan
29,2020-02-20,1.7844,3.6844,1.69,开放申购,开放赎回,nan
30,2020-02-21,1.7755,3.6755,-0.5,开放申购,开放赎回,nan
31,2020-02-24,1.7479,3.6479,-1.55,开放申购,开放赎回,nan
32,2020-02-25,1.7387,3.6387,-0.53,开放申购,开放赎回,nan
33,2020-02-26,1.7318,3.6318,-0.4,开放申购,开放赎回,nan
34,2020-02-27,1.7466,3.6466,0.85,开放申购,开放赎回,nan
35,2020-02-28,1.7011,3.6011,-2.61,开放申购,开放赎回,nan
36,2020-03-02,1.7452,3.6452,2.59,开放申购,开放赎回,nan
37,2020-03-03,1.7578,3.6578,0.72,开放申购,开放赎回,nan
38,2020-03-04,1.7686,3.6686,0.61,开放申购,开放赎回,nan
39,2020-03-05,1.8177,3.7177,2.78,开放申购,开放赎回,nan
40,2020-03-06,1.7892,3.6892,-1.57,开放申购,开放赎回,nan
41,2020-03-09,1.7307,3.6307,-3.27,开放申购,开放赎回,nan
42,2020-03-10,1.7627,3.6627,1.85,开放申购,开放赎回,nan
43,2020-03-11,1.7444,3.6444,-1.04,开放申购,开放赎回,nan
44,2020-03-12,1.7116,3.6116,-1.88,开放申购,开放赎回,nan
45,2020-03-13,1.6844,3.5844,-1.59,开放申购,开放赎回,nan
46,2020-03-16,1.6229,3.5229,-3.65,开放申购,开放赎回,nan
47,2020-03-17,1.6216,3.5216,-0.08,开放申购,开放赎回,nan
48,2020-03-18,1.5893,3.4893,-1.99,开放申购,开放赎回,nan
49,2020-03-19,1.5554,3.4554,-2.13,开放申购,开放赎回,nan
50,2020-03-20,1.5979,3.4979,2.73,开放申购,开放赎回,nan
51,2020-03-23,1.5664,3.4664,-1.97,开放申购,开放赎回,nan
52,2020-03-24,1.614,3.514,3.04,开放申购,开放赎回,nan
53,2020-03-25,1.6539,3.5539,2.47,开放申购,开放赎回,nan
54,2020-03-26,1.6549,3.5549,0.06,开放申购,开放赎回,nan
55,2020-03-27,1.6638,3.5638,0.54,开放申购,开放赎回,nan
56,2020-03-30,1.658,3.558,-0.35,开放申购,开放赎回,nan
57,2020-03-31,1.6683,3.5683,0.62,开放申购,开放赎回,nan
58,2020-04-01,1.659,3.559,-0.56,开放申购,开放赎回,nan
59,2020-04-02,1.6778,3.5778,1.13,开放申购,开放赎回,nan
60,2020-04-03,1.6759,3.5759,-0.11,开放申购,开放赎回,nan
61,2020-04-07,1.7108,3.6108,2.08,开放申购,开放赎回,nan
62,2020-04-08,1.698,3.598,-0.75,开放申购,开放赎回,nan
63,2020-04-09,1.7043,3.6043,0.37,开放申购,开放赎回,nan
64,2020-04-10,1.7062,3.6062,0.11,开放申购,开放赎回,nan
65,2020-04-13,1.6995,3.5995,-0.39,开放申购,开放赎回,nan
66,2020-04-14,1.7286,3.6286,1.71,开放申购,开放赎回,nan
67,2020-04-15,1.7161,3.6161,-0.72,开放申购,开放赎回,nan
68,2020-04-16,1.7132,3.6132,-0.17,开放申购,开放赎回,nan
69,2020-04-17,1.7348,3.6348,1.26,开放申购,开放赎回,nan
70,2020-04-20,1.7424,3.6424,0.44,开放申购,开放赎回,nan
71,2020-04-21,1.7243,3.6243,-1.04,开放申购,开放赎回,nan
72,2020-04-22,1.7434,3.6434,1.11,开放申购,开放赎回,nan
73,2020-04-23,1.7446,3.6446,0.07,开放申购,开放赎回,nan
74,2020-04-24,1.7332,3.6332,-0.65,开放申购,开放赎回,nan
