,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,4.2386,4.2386,0.71,开放申购,开放赎回,nan
2,2020-01-06,4.2866,4.2866,1.13,开放申购,开放赎回,nan
3,2020-01-07,4.2851,4.2851,-0.04,开放申购,开放赎回,nan
4,2020-01-08,4.174,4.174,-2.59,开放申购,开放赎回,nan
5,2020-01-09,4.2587,4.2587,2.03,开放申购,开放赎回,nan
6,2020-01-10,4.3341,4.3341,1.77,开放申购,开放赎回,nan
7,2020-01-13,4.4817,4.4817,3.41,开放申购,开放赎回,nan
8,2020-01-14,4.5077,4.5077,0.58,开放申购,开放赎回,nan
9,2020-01-15,4.5983,4.5983,2.01,开放申购,开放赎回,nan
10,2020-01-16,4.6206,4.6206,0.49,开放申购,开放赎回,nan
11,2020-01-17,4.6398,4.6398,0.42,开放申购,开放赎回,nan
12,2020-01-20,4.8649,4.8649,4.85,开放申购,开放赎回,nan
13,2020-01-21,4.8899,4.8899,0.51,开放申购,开放赎回,nan
14,2020-01-22,5.1199,5.1199,4.7,开放申购,开放赎回,nan
15,2020-01-23,5.0136,5.0136,-2.08,开放申购,开放赎回,nan
16,2020-02-03,4.6553,4.6553,-7.15,开放申购,开放赎回,nan
17,2020-02-04,4.8895,4.8895,5.03,开放申购,开放赎回,nan
18,2020-02-05,4.9414,4.9414,1.06,开放申购,开放赎回,nan
19,2020-02-06,5.0837,5.0837,2.88,开放申购,开放赎回,nan
20,2020-02-07,5.2218,5.2218,2.72,开放申购,开放赎回,nan
21,2020-02-10,5.1426,5.1426,-1.52,开放申购,开放赎回,nan
22,2020-02-11,5.2235,5.2235,1.57,开放申购,开放赎回,nan
23,2020-02-12,5.3354,5.3354,2.14,开放申购,开放赎回,nan
24,2020-02-13,5.3753,5.3753,0.75,限制大额申购,开放赎回,nan
25,2020-02-14,5.4243,5.4243,0.91,限制大额申购,开放赎回,nan
26,2020-02-17,5.6002,5.6002,3.24,限制大额申购,开放赎回,nan
27,2020-02-18,5.8071,5.8071,3.69,限制大额申购,开放赎回,nan
28,2020-02-19,5.747,5.747,-1.03,限制大额申购,开放赎回,nan
29,2020-02-20,5.9585,5.9585,3.68,限制大额申购,开放赎回,nan
30,2020-02-21,6.1423,6.1423,3.08,限制大额申购,开放赎回,nan
31,2020-02-24,6.4687,6.4687,5.31,限制大额申购,开放赎回,nan
32,2020-02-25,6.6724,6.6724,3.15,限制大额申购,开放赎回,nan
33,2020-02-26,6.1757,6.1757,-7.44,限制大额申购,开放赎回,nan
34,2020-02-27,5.9813,5.9813,-3.15,限制大额申购,开放赎回,nan
35,2020-02-28,5.699,5.699,-4.72,限制大额申购,开放赎回,nan
36,2020-03-02,5.7971,5.7971,1.72,限制大额申购,开放赎回,nan
37,2020-03-03,5.8141,5.8141,0.29,限制大额申购,开放赎回,nan
38,2020-03-04,5.6292,5.6292,-3.18,限制大额申购,开放赎回,nan
39,2020-03-05,5.6844,5.6844,0.98,限制大额申购,开放赎回,nan
40,2020-03-06,5.5935,5.5935,-1.6,限制大额申购,开放赎回,nan
41,2020-03-09,5.181,5.181,-7.37,限制大额申购,开放赎回,nan
42,2020-03-10,5.494,5.494,6.04,限制大额申购,开放赎回,nan
43,2020-03-11,5.2646,5.2646,-4.18,限制大额申购,开放赎回,nan
44,2020-03-12,5.1852,5.1852,-1.51,限制大额申购,开放赎回,nan
45,2020-03-13,5.2636,5.2636,1.51,限制大额申购,开放赎回,nan
46,2020-03-16,4.899,4.899,-6.93,限制大额申购,开放赎回,nan
47,2020-03-17,4.973,4.973,1.51,限制大额申购,开放赎回,nan
48,2020-03-18,4.8776,4.8776,-1.92,限制大额申购,开放赎回,nan
49,2020-03-19,5.0121,5.0121,2.76,限制大额申购,开放赎回,nan
50,2020-03-20,4.9905,4.9905,-0.43,限制大额申购,开放赎回,nan
51,2020-03-23,4.6149,4.6149,-7.53,限制大额申购,开放赎回,nan
52,2020-03-24,4.6742,4.6742,1.29,限制大额申购,开放赎回,nan
53,2020-03-25,4.7918,4.7918,2.52,限制大额申购,开放赎回,nan
54,2020-03-26,4.7266,4.7266,-1.36,限制大额申购,开放赎回,nan
55,2020-03-27,4.6792,4.6792,-1.0,限制大额申购,开放赎回,nan
56,2020-03-30,4.5373,4.5373,-3.03,限制大额申购,开放赎回,nan
57,2020-03-31,4.5074,4.5074,-0.66,限制大额申购,开放赎回,nan
58,2020-04-01,4.5871,4.5871,1.77,限制大额申购,开放赎回,nan
59,2020-04-02,4.8839,4.8839,6.47,限制大额申购,开放赎回,nan
60,2020-04-03,4.8417,4.8417,-0.86,限制大额申购,开放赎回,nan
61,2020-04-07,4.9496,4.9496,2.23,限制大额申购,开放赎回,nan
62,2020-04-08,4.9317,4.9317,-0.36,限制大额申购,开放赎回,nan
63,2020-04-09,4.8756,4.8756,-1.14,限制大额申购,开放赎回,nan
64,2020-04-10,4.6713,4.6713,-4.19,限制大额申购,开放赎回,nan
65,2020-04-13,4.5409,4.5409,-2.79,限制大额申购,开放赎回,nan
66,2020-04-14,4.6792,4.6792,3.05,限制大额申购,开放赎回,nan
67,2020-04-15,4.7015,4.7015,0.48,限制大额申购,开放赎回,nan
68,2020-04-16,4.7309,4.7309,0.63,限制大额申购,开放赎回,nan
69,2020-04-17,4.8176,4.8176,1.83,限制大额申购,开放赎回,nan
70,2020-04-20,4.8652,4.8652,0.99,限制大额申购,开放赎回,nan
71,2020-04-21,4.7874,4.7874,-1.6,限制大额申购,开放赎回,nan
72,2020-04-22,4.8166,4.8166,0.61,限制大额申购,开放赎回,nan
73,2020-04-23,4.7542,4.7542,-1.3,限制大额申购,开放赎回,nan
74,2020-04-24,4.6566,4.6566,-2.05,限制大额申购,开放赎回,nan
