,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,0.9857,2.1118,-1.09,限制大额申购,开放赎回,nan
2,2020-01-06,0.9779,2.104,-0.79,限制大额申购,开放赎回,nan
3,2020-01-07,0.988,2.1141,1.03,限制大额申购,开放赎回,nan
4,2020-01-08,0.9896,2.1157,0.16,限制大额申购,开放赎回,nan
5,2020-01-09,1.01,2.1361,2.06,限制大额申购,开放赎回,nan
6,2020-01-10,1.0337,2.1598,2.35,限制大额申购,开放赎回,nan
7,2020-01-13,1.0486,2.1747,1.44,限制大额申购,开放赎回,nan
8,2020-01-14,1.0332,2.1593,-1.47,限制大额申购,开放赎回,nan
9,2020-01-15,1.0381,2.1642,0.47,限制大额申购,开放赎回,nan
10,2020-01-16,1.04,2.1661,0.18,限制大额申购,开放赎回,nan
11,2020-01-17,1.0401,2.1662,0.01,限制大额申购,开放赎回,nan
12,2020-01-20,1.0295,2.1556,-1.02,限制大额申购,开放赎回,nan
13,2020-01-21,1.0006,2.1267,-2.81,限制大额申购,开放赎回,nan
14,2020-01-22,1.0043,2.1304,0.37,限制大额申购,开放赎回,nan
15,2020-01-23,0.9675,2.0936,-3.66,限制大额申购,开放赎回,nan
16,2020-02-03,0.8865,2.0126,-8.37,限制大额申购,开放赎回,nan
17,2020-02-04,0.8809,2.007,-0.63,限制大额申购,开放赎回,nan
18,2020-02-05,0.8926,2.0187,1.33,限制大额申购,开放赎回,nan
19,2020-02-06,0.9014,2.0275,0.99,限制大额申购,开放赎回,nan
20,2020-02-07,0.9091,2.0352,0.85,限制大额申购,开放赎回,nan
21,2020-02-10,0.9112,2.0373,0.23,限制大额申购,开放赎回,nan
22,2020-02-11,0.9324,2.0585,2.33,限制大额申购,开放赎回,nan
23,2020-02-12,0.935,2.0611,0.28,限制大额申购,开放赎回,nan
24,2020-02-13,0.928,2.0541,-0.75,限制大额申购,开放赎回,nan
25,2020-02-14,0.9257,2.0518,-0.25,限制大额申购,开放赎回,nan
26,2020-02-17,0.9331,2.0592,0.8,限制大额申购,开放赎回,nan
27,2020-02-18,0.9283,2.0544,-0.51,限制大额申购,开放赎回,nan
28,2020-02-19,0.9396,2.0657,1.22,限制大额申购,开放赎回,nan
29,2020-02-20,0.9726,2.0987,3.51,限制大额申购,开放赎回,nan
30,2020-02-21,0.9701,2.0962,-0.26,限制大额申购,开放赎回,nan
31,2020-02-24,0.9522,2.0783,-1.85,限制大额申购,开放赎回,nan
32,2020-02-25,0.9443,2.0704,-0.83,限制大额申购,开放赎回,nan
33,2020-02-26,0.9363,2.0624,-0.85,限制大额申购,开放赎回,nan
34,2020-02-27,0.9472,2.0733,1.16,限制大额申购,开放赎回,nan
35,2020-02-28,0.9085,2.0346,-4.09,限制大额申购,开放赎回,nan
36,2020-03-02,0.9308,2.0569,2.45,限制大额申购,开放赎回,nan
37,2020-03-03,0.9371,2.0632,0.68,限制大额申购,开放赎回,nan
38,2020-03-04,0.9445,2.0706,0.79,限制大额申购,开放赎回,nan
39,2020-03-05,0.992,2.1181,5.03,限制大额申购,开放赎回,nan
40,2020-03-06,0.9694,2.0955,-2.28,限制大额申购,开放赎回,nan
41,2020-03-09,0.9331,2.0592,-3.74,限制大额申购,开放赎回,nan
42,2020-03-10,0.9597,2.0858,2.85,限制大额申购,开放赎回,nan
43,2020-03-11,0.9573,2.0834,-0.25,限制大额申购,开放赎回,nan
44,2020-03-12,0.9348,2.0609,-2.35,限制大额申购,开放赎回,nan
45,2020-03-13,0.9177,2.0438,-1.83,限制大额申购,开放赎回,nan
46,2020-03-16,0.8808,2.0069,-4.02,限制大额申购,开放赎回,nan
47,2020-03-17,0.8623,1.9884,-2.1,限制大额申购,开放赎回,nan
48,2020-03-18,0.8394,1.9655,-2.66,限制大额申购,开放赎回,nan
49,2020-03-19,0.811,1.9371,-3.38,限制大额申购,开放赎回,nan
50,2020-03-20,0.8375,1.9636,3.27,限制大额申购,开放赎回,nan
51,2020-03-23,0.8126,1.9387,-2.97,限制大额申购,开放赎回,nan
52,2020-03-24,0.8433,1.9694,3.78,限制大额申购,开放赎回,nan
53,2020-03-25,0.8678,1.9939,2.91,限制大额申购,开放赎回,nan
54,2020-03-26,0.867,1.9931,-0.09,限制大额申购,开放赎回,nan
55,2020-03-27,0.8871,2.0132,2.32,限制大额申购,开放赎回,nan
56,2020-03-30,0.8703,1.9964,-1.89,限制大额申购,开放赎回,nan
57,2020-03-31,0.8866,2.0127,1.87,限制大额申购,开放赎回,nan
58,2020-04-01,0.8806,2.0067,-0.68,限制大额申购,开放赎回,nan
59,2020-04-02,0.892,2.0181,1.29,限制大额申购,开放赎回,nan
60,2020-04-03,0.8899,2.016,-0.24,限制大额申购,开放赎回,nan
61,2020-04-07,0.9131,2.0392,2.61,限制大额申购,开放赎回,nan
62,2020-04-08,0.913,2.0391,-0.01,限制大额申购,开放赎回,nan
63,2020-04-09,0.9179,2.044,0.54,限制大额申购,开放赎回,nan
64,2020-04-10,0.9285,2.0546,1.15,限制大额申购,开放赎回,nan
65,2020-04-13,0.9278,2.0539,-0.08,限制大额申购,开放赎回,nan
66,2020-04-14,0.9397,2.0658,1.28,限制大额申购,开放赎回,nan
67,2020-04-15,0.938,2.0641,-0.18,限制大额申购,开放赎回,nan
68,2020-04-16,0.929,2.0551,-0.96,限制大额申购,开放赎回,nan
69,2020-04-17,0.9421,2.0682,1.41,限制大额申购,开放赎回,nan
70,2020-04-20,0.9467,2.0728,0.49,限制大额申购,开放赎回,nan
71,2020-04-21,0.9249,2.051,-2.3,限制大额申购,开放赎回,nan
72,2020-04-22,0.9508,2.0769,2.8,限制大额申购,开放赎回,nan
73,2020-04-23,0.953,2.0791,0.23,限制大额申购,开放赎回,nan
74,2020-04-24,0.9632,2.0893,1.07,限制大额申购,开放赎回,nan
