,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,1.2418,1.2418,-0.64,限制大额申购,开放赎回,nan
2,2020-01-06,1.23,1.23,-0.95,限制大额申购,开放赎回,nan
3,2020-01-07,1.2546,1.2546,2.0,限制大额申购,开放赎回,nan
4,2020-01-08,1.2498,1.2498,-0.38,限制大额申购,开放赎回,nan
5,2020-01-09,1.2936,1.2936,3.5,限制大额申购,开放赎回,nan
6,2020-01-10,1.3002,1.3002,0.51,限制大额申购,开放赎回,nan
7,2020-01-13,1.3105,1.3105,0.79,限制大额申购,开放赎回,nan
8,2020-01-14,1.2946,1.2946,-1.21,限制大额申购,开放赎回,nan
9,2020-01-15,1.3138,1.3138,1.48,限制大额申购,开放赎回,nan
10,2020-01-16,1.3378,1.3378,1.83,限制大额申购,开放赎回,nan
11,2020-01-17,1.3584,1.3584,1.54,限制大额申购,开放赎回,nan
12,2020-01-20,1.3858,1.3858,2.02,限制大额申购,开放赎回,nan
13,2020-01-21,1.3827,1.3827,-0.22,限制大额申购,开放赎回,nan
14,2020-01-22,1.3856,1.3856,0.21,限制大额申购,开放赎回,nan
15,2020-01-23,1.346,1.346,-2.86,限制大额申购,开放赎回,nan
16,2020-02-03,1.283,1.283,-4.68,限制大额申购,开放赎回,nan
17,2020-02-04,1.334,1.334,3.98,限制大额申购,开放赎回,nan
18,2020-02-05,1.3507,1.3507,1.25,限制大额申购,开放赎回,nan
19,2020-02-06,1.3933,1.3933,3.15,限制大额申购,开放赎回,nan
20,2020-02-07,1.379,1.379,-1.03,限制大额申购,开放赎回,nan
21,2020-02-10,1.3831,1.3831,0.3,限制大额申购,开放赎回,nan
22,2020-02-11,1.3994,1.3994,1.18,限制大额申购,开放赎回,nan
23,2020-02-12,1.4276,1.4276,2.02,限制大额申购,开放赎回,nan
24,2020-02-13,1.4196,1.4196,-0.56,限制大额申购,开放赎回,nan
25,2020-02-14,1.4229,1.4229,0.23,限制大额申购,开放赎回,nan
26,2020-02-17,1.4598,1.4598,2.59,限制大额申购,开放赎回,nan
27,2020-02-18,1.4568,1.4568,-0.21,限制大额申购,开放赎回,nan
28,2020-02-19,1.4411,1.4411,-1.08,限制大额申购,开放赎回,nan
29,2020-02-20,1.4596,1.4596,1.28,限制大额申购,开放赎回,nan
