,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
1,2020-01-03,0.7234,0.7234,0.17,开放申购,开放赎回,nan
2,2020-01-06,0.7322,0.7322,1.22,开放申购,开放赎回,nan
3,2020-01-07,0.7447,0.7447,1.71,开放申购,开放赎回,nan
4,2020-01-08,0.7332,0.7332,-1.54,开放申购,开放赎回,nan
5,2020-01-09,0.7519,0.7519,2.55,开放申购,开放赎回,nan
6,2020-01-10,0.7486,0.7486,-0.44,开放申购,开放赎回,nan
7,2020-01-13,0.76,0.76,1.52,开放申购,开放赎回,nan
8,2020-01-14,0.7554,0.7554,-0.61,开放申购,开放赎回,nan
9,2020-01-15,0.756,0.756,0.08,开放申购,开放赎回,nan
10,2020-01-16,0.7581,0.7581,0.28,开放申购,开放赎回,nan
11,2020-01-17,0.759,0.759,0.12,开放申购,开放赎回,nan
12,2020-01-20,0.7775,0.7775,2.44,开放申购,开放赎回,nan
13,2020-01-21,0.7718,0.7718,-0.73,开放申购,开放赎回,nan
14,2020-01-22,0.7819,0.7819,1.31,开放申购,开放赎回,nan
15,2020-01-23,0.7572,0.7572,-3.16,开放申购,开放赎回,nan
16,2020-02-03,0.7107,0.7107,-6.14,开放申购,开放赎回,nan
17,2020-02-04,0.7435,0.7435,4.62,开放申购,开放赎回,nan
18,2020-02-05,0.7649,0.7649,2.88,开放申购,开放赎回,nan
19,2020-02-06,0.7916,0.7916,3.49,开放申购,开放赎回,nan
20,2020-02-07,0.7934,0.7934,0.23,开放申购,开放赎回,nan
21,2020-02-10,0.8031,0.8031,1.22,开放申购,开放赎回,nan
22,2020-02-11,0.798,0.798,-0.64,开放申购,开放赎回,nan
23,2020-02-12,0.8191,0.8191,2.64,开放申购,开放赎回,nan
24,2020-02-13,0.8114,0.8114,-0.94,开放申购,开放赎回,nan
25,2020-02-14,0.8128,0.8128,0.17,开放申购,开放赎回,nan
26,2020-02-17,0.8413,0.8413,3.51,开放申购,开放赎回,nan
27,2020-02-18,0.8504,0.8504,1.08,开放申购,开放赎回,nan
28,2020-02-19,0.8388,0.8388,-1.36,开放申购,开放赎回,nan
29,2020-02-20,0.856,0.856,2.05,开放申购,开放赎回,nan
30,2020-02-21,0.8708,0.8708,1.73,开放申购,开放赎回,nan
31,2020-02-24,0.8846,0.8846,1.58,开放申购,开放赎回,nan
32,2020-02-25,0.8932,0.8932,0.97,开放申购,开放赎回,nan
33,2020-02-26,0.8541,0.8541,-4.38,开放申购,开放赎回,nan
34,2020-02-27,0.8598,0.8598,0.67,开放申购,开放赎回,nan
35,2020-02-28,0.8132,0.8132,-5.42,开放申购,开放赎回,nan
36,2020-03-02,0.8354,0.8354,2.73,开放申购,开放赎回,nan
37,2020-03-03,0.8485,0.8485,1.57,开放申购,开放赎回,nan
38,2020-03-04,0.8471,0.8471,-0.17,开放申购,开放赎回,nan
39,2020-03-05,0.8619,0.8619,1.75,开放申购,开放赎回,nan
40,2020-03-06,0.8557,0.8557,-0.72,开放申购,开放赎回,nan
41,2020-03-09,0.8187,0.8187,-4.32,开放申购,开放赎回,nan
42,2020-03-10,0.8395,0.8395,2.54,开放申购,开放赎回,nan
43,2020-03-11,0.822,0.822,-2.08,开放申购,开放赎回,nan
44,2020-03-12,0.8016,0.8016,-2.48,开放申购,开放赎回,nan
45,2020-03-13,0.7964,0.7964,-0.65,开放申购,开放赎回,nan
46,2020-03-16,0.7523,0.7523,-5.54,开放申购,开放赎回,nan
47,2020-03-17,0.7546,0.7546,0.31,开放申购,开放赎回,nan
48,2020-03-18,0.7433,0.7433,-1.5,开放申购,开放赎回,nan
49,2020-03-19,0.7462,0.7462,0.39,开放申购,开放赎回,nan
50,2020-03-20,0.7536,0.7536,0.99,开放申购,开放赎回,nan
51,2020-03-23,0.7211,0.7211,-4.31,开放申购,开放赎回,nan
52,2020-03-24,0.7393,0.7393,2.52,开放申购,开放赎回,nan
53,2020-03-25,0.7611,0.7611,2.95,开放申购,开放赎回,nan
54,2020-03-26,0.7573,0.7573,-0.5,开放申购,开放赎回,nan
55,2020-03-27,0.7486,0.7486,-1.15,开放申购,开放赎回,nan
56,2020-03-30,0.7325,0.7325,-2.15,开放申购,开放赎回,nan
57,2020-03-31,0.7366,0.7366,0.56,开放申购,开放赎回,nan
58,2020-04-01,0.734,0.734,-0.35,开放申购,开放赎回,nan
59,2020-04-02,0.7534,0.7534,2.64,开放申购,开放赎回,nan
60,2020-04-03,0.7496,0.7496,-0.5,开放申购,开放赎回,nan
61,2020-04-07,0.773,0.773,3.12,开放申购,开放赎回,nan
62,2020-04-08,0.7711,0.7711,-0.25,开放申购,开放赎回,nan
63,2020-04-09,0.7831,0.7831,1.56,开放申购,开放赎回,nan
64,2020-04-10,0.7654,0.7654,-2.26,开放申购,开放赎回,nan
65,2020-04-13,0.7555,0.7555,-1.29,开放申购,开放赎回,nan
66,2020-04-14,0.7775,0.7775,2.91,开放申购,开放赎回,nan
67,2020-04-15,0.7745,0.7745,-0.39,开放申购,开放赎回,nan
68,2020-04-16,0.7858,0.7858,1.46,开放申购,开放赎回,nan
69,2020-04-17,0.7905,0.7905,0.6,开放申购,开放赎回,nan
70,2020-04-20,0.7988,0.7988,1.05,开放申购,开放赎回,nan
71,2020-04-21,0.7915,0.7915,-0.91,开放申购,开放赎回,nan
72,2020-04-22,0.7986,0.7986,0.9,开放申购,开放赎回,nan
73,2020-04-23,0.7935,0.7935,-0.64,开放申购,开放赎回,nan
74,2020-04-24,0.7839,0.7839,-1.21,开放申购,开放赎回,nan
